# reps=1000, dist name=sorted, dist param=0, TYPE=UINT64, BLOCK_SIZE=16512, SEQREAD_CACHE_SIZE=1024, NR_TASKLETS=1, CALL_OVERHEAD=128
# QUICK_THRESHOLD=18, PIVOT=RANDOM, PARTITION_PRIO=LEFT, RECURSIVE=true, MERGE_THRESHOLD=32
n	µ_Normal σ_Normal	µ_TrivialBC σ_TrivialBC	µ_NoTrivial σ_NoTrivial	µ_OneInsertion σ_OneInsertion	µ_ThreshBC σ_ThreshBC	µ_ThreshTrivBC σ_ThreshTrivBC	µ_ThreshThenTriv σ_ThreshThenTriv	µ_TrivInThresh σ_TrivInThresh
16  	   1631     2	   1620     6	   1664     2	   1760     3	   2988    61	   3007    58	   1635     7	   1668     7
24  	   4883   991	   4875   977	   5206  1116	   5541  1201	   5152  1136	   5177  1140	   4963  1029	   5227  1114
32  	   7535  1631	   7530  1616	   8067  1829	   8537  1964	   8034  1857	   8066  1863	   7647  1680	   8096  1829
48  	  13486  2184	  13489  2168	  14468  2430	  15197  2570	  14475  2460	  14523  2468	  13656  2232	  14511  2431
64  	  19985  2800	  19997  2788	  21502  3111	  22492  3269	  21555  3145	  21618  3152	  20213  2852	  21559  3114
96  	  34272  3814	  34300  3795	  36938  4275	  38456  4439	  37075  4327	  37171  4336	  34620  3871	  37021  4275
128 	  49932  5190	  49977  5174	  53916  5783	  55971  5971	  54141  5834	  54269  5844	  50403  5255	  54026  5783
192 	  83398  7416	  83478  7403	  90208  8283	  93327  8477	  90617  8340	  90808  8352	  84113  7489	  90375  8281
256 	 119747  9616	 119858  9595	 129638 10674	 133826 10869	 130222 10723	 130475 10734	 120711  9689	 129860 10677
384 	 196574 13700	 196753 13695	 213132 15255	 219405 15417	 214069 15316	 214447 15329	 198010 13759	 213467 15256
512 	 278402 19311	 278651 19298	 302082 21387	 310486 21575	 303382 21443	 303884 21448	 280336 19382	 302528 21392
768 	 450956 27400	 451333 27386	 489690 30308	 502328 30495	 491694 30372	 492445 30386	 453859 27481	 490357 30309
1024	 634753 37655	 635252 37637	 689802 41458	 706754 41675	 692540 41513	 693558 41526	 638666 37742	 690688 41456
