# reps=1000, dist name=uniform, dist param=0, TYPE=UINT64, BLOCK_SIZE=16512, SEQREAD_CACHE_SIZE=1024, NR_TASKLETS=1, CALL_OVERHEAD=128
# QUICK_THRESHOLD=18, PIVOT=RANDOM, PARTITION_PRIO=LEFT, RECURSIVE=true, MERGE_THRESHOLD=32
n	µ_Normal σ_Normal	µ_TrivialBC σ_TrivialBC	µ_NoTrivial σ_NoTrivial	µ_OneInsertion σ_OneInsertion	µ_ThreshBC σ_ThreshBC	µ_ThreshTrivBC σ_ThreshTrivBC	µ_ThreshThenTriv σ_ThreshThenTriv	µ_TrivInThresh σ_TrivInThresh
16  	   5843   738	   5832   738	   5877   738	   5975   737	   5531   697	   5551   695	   5855   738	   5888   738
24  	   9661  1131	   9651  1116	  10048  1207	  10388  1259	   9764  1209	   9788  1210	   9801  1152	  10069  1203
32  	  14044  1403	  14036  1385	  14677  1530	  15150  1611	  14404  1554	  14436  1558	  14263  1435	  14706  1527
48  	  23378  1883	  23382  1864	  24587  2069	  25318  2166	  24379  2127	  24428  2135	  23777  1916	  24629  2066
64  	  33405  2428	  33419  2410	  35303  2698	  36300  2794	  35189  2750	  35254  2757	  34004  2461	  35358  2692
96  	  55105  3506	  55131  3486	  58503  3905	  60024  4017	  58657  3987	  58753  3994	  56141  3541	  58588  3902
128 	  77825  4620	  77873  4599	  82881  5106	  84950  5201	  83411  5149	  83540  5156	  79346  4639	  82995  5102
192 	 125991  6826	 126068  6805	 134594  7516	 137707  7634	 135987  7547	 136179  7554	 128552  6842	 134762  7512
256 	 177189  8757	 177306  8736	 189728  9681	 193895  9792	 192125  9747	 192378  9754	 180867  8755	 189952  9683
384 	 285480 13493	 285671 13472	 306680 14946	 312975 15077	 311536 14872	 311919 14883	 291578 13468	 307016 14944
512 	 399142 17544	 399390 17531	 429491 19623	 437911 19756	 437074 19549	 437572 19562	 407809 17493	 429934 19623
768 	 638114 27213	 638493 27187	 688519 30100	 701182 30216	 702190 29949	 702957 29951	 652246 27101	 689188 30093
1024	 884702 35715	 885209 35677	 955925 39459	 972844 39556	 976355 38976	 977372 38979	 904646 35510	 956813 39456
