# reps=1000, dist name=Zipf, dist param=0, TYPE=UINT64, BLOCK_SIZE=16512, SEQREAD_CACHE_SIZE=1024, NR_TASKLETS=1, CALL_OVERHEAD=128
# QUICK_THRESHOLD=18, PIVOT=RANDOM, PARTITION_PRIO=LEFT, RECURSIVE=true, MERGE_THRESHOLD=32
n	µ_Normal σ_Normal	µ_TrivialBC σ_TrivialBC	µ_NoTrivial σ_NoTrivial	µ_OneInsertion σ_OneInsertion	µ_ThreshBC σ_ThreshBC	µ_ThreshTrivBC σ_ThreshTrivBC	µ_ThreshThenTriv σ_ThreshThenTriv	µ_TrivInThresh σ_TrivInThresh
16  	   5775   744	   5766   744	   5809   743	   5909   743	   5409   681	   5429   679	   5788   744	   5821   743
24  	   9415  1136	   9406  1121	   9793  1191	  10131  1240	   9511  1166	   9536  1169	   9555  1149	   9816  1190
32  	  13417  1283	  13413  1266	  14041  1363	  14507  1431	  13784  1378	  13818  1383	  13635  1301	  14073  1363
48  	  22193  1829	  22197  1812	  23382  1962	  24103  2045	  23210  1987	  23259  1995	  22591  1850	  23425  1961
64  	  31411  2260	  31425  2237	  33206  2423	  34177  2514	  33139  2453	  33201  2460	  32003  2281	  33266  2421
96  	  50858  3159	  50894  3137	  54114  3385	  55593  3481	  54476  3428	  54571  3435	  51903  3173	  54201  3384
128 	  71149  4188	  71209  4174	  76028  4555	  78012  4650	  76938  4542	  77065  4549	  72693  4190	  76147  4554
192 	 113242  5585	 113358  5570	 121529  6042	 124478  6153	 123839  6021	 124021  6029	 115873  5584	 121701  6043
256 	 157098  7535	 157262  7524	 169171  8247	 173075  8343	 173154  8176	 173400  8187	 160926  7505	 169407  8246
384 	 248634 10764	 248902 10761	 269037 11779	 274835 11856	 277030 11628	 277398 11634	 255091 10700	 269385 11776
512 	 341763 14938	 342151 14928	 370932 16190	 378574 16259	 383565 15964	 384044 15976	 351113 14833	 371398 16188
768 	 535582 22025	 536187 22018	 583510 24101	 594725 24179	 606762 23824	 607455 23828	 551151 21874	 584193 24108
1024	 733512 28519	 734349 28524	 801523 31420	 816292 31513	 836784 31081	 837707 31096	 755890 28322	 802445 31416
