# reps=1000, dist name=reverse, dist param=0, TYPE=UINT32, BLOCK_SIZE=16512, SEQREAD_CACHE_SIZE=1024, NR_TASKLETS=1, CALL_OVERHEAD=128
# QUICK_THRESHOLD=18, PIVOT=RANDOM, PARTITION_PRIO=RIGHT, RECURSIVE=true, MERGE_THRESHOLD=32
n	µ_Normal σ_Normal	µ_TrivialBC σ_TrivialBC	µ_NoTrivial σ_NoTrivial	µ_OneInsertion σ_OneInsertion	µ_ThreshBC σ_ThreshBC	µ_ThreshTrivBC σ_ThreshTrivBC	µ_ThreshThenTriv σ_ThreshThenTriv	µ_TrivInThresh σ_TrivInThresh
16  	   6949     9	   6941     9	   6950    10	   7046    10	   4752  1073	   4770  1065	   6951    10	   6961    12
24  	   6231  1517	   6221  1508	   6587  1565	   6859  1609	   7126  1561	   7149  1561	   6595  1569	   6608  1563
32  	   8543  1965	   8537  1956	   9142  2089	   9515  2175	  10081  2166	  10112  2168	   9152  2095	   9170  2090
48  	  13843  1850	  13845  1838	  14933  2008	  15492  2088	  16681  2154	  16725  2156	  14960  2016	  14975  2008
64  	  19674  2404	  19683  2386	  21360  2678	  22120  2780	  24011  2938	  24071  2942	  21398  2685	  21416  2676
96  	  32143  2928	  32161  2909	  35117  3319	  36275  3435	  39679  3732	  39769  3737	  35185  3330	  35202  3319
128 	  45428  3800	  45468  3785	  49777  4299	  51327  4442	  56334  4857	  56454  4863	  49870  4311	  49892  4302
192 	  73776  5139	  73842  5119	  81196  5944	  83528  6083	  92069  6865	  92249  6872	  81347  5957	  81362  5945
256 	 103569  6975	 103660  6951	 114295  8050	 117426  8228	 129724  9297	 129960  9303	 114500  8064	 114521  8052
384 	 166564  9690	 166725  9670	 184196 11308	 188863 11471	 209010 13187	 209366 13194	 184508 11319	 184531 11305
512 	 233582 12434	 233782 12407	 258952 14516	 265209 14672	 293979 17023	 294454 17027	 259373 14531	 259397 14522
768 	 372611 18244	 372930 18217	 413798 21469	 423177 21630	 469635 25336	 470339 25337	 414441 21482	 414470 21466
1024	 521031 23761	 521467 23742	 579525 27970	 592116 28130	 657627 33003	 658581 33012	 580389 27983	 580413 27967
