# reps=1000, dist name=almost, dist param=0, TYPE=UINT64, BLOCK_SIZE=16512, SEQREAD_CACHE_SIZE=1024, NR_TASKLETS=1, CALL_OVERHEAD=128
# QUICK_THRESHOLD=18, PIVOT=RANDOM, PARTITION_PRIO=RIGHT, RECURSIVE=true, MERGE_THRESHOLD=32
n	µ_Normal σ_Normal	µ_TrivialBC σ_TrivialBC	µ_NoTrivial σ_NoTrivial	µ_OneInsertion σ_OneInsertion	µ_ThreshBC σ_ThreshBC	µ_ThreshTrivBC σ_ThreshTrivBC	µ_ThreshThenTriv σ_ThreshThenTriv	µ_TrivInThresh σ_TrivInThresh
16  	   3589   690	   3579   689	   3589   690	   4027   820	   4235   553	   4253   549	   3590   690	   3601   690
24  	   6023  1074	   6013  1057	   6313  1167	   6882  1300	   6695  1348	   6718  1347	   6514  1246	   6334  1164
32  	   8615  1357	   8607  1340	   9111  1507	   9848  1652	   9893  1820	   9924  1821	   9480  1639	   9139  1505
48  	  14169  1860	  14171  1845	  15111  2073	  16133  2233	  16783  2525	  16829  2529	  15880  2274	  15154  2073
64  	  20388  2371	  20397  2356	  21855  2641	  23214  2811	  24569  3230	  24628  3235	  23077  2897	  21909  2639
96  	  32980  3376	  33002  3356	  35567  3785	  37463  3990	  40472  4697	  40562  4705	  37816  4202	  35651  3787
128 	  47019  4310	  47057  4292	  50900  4862	  53384  5069	  58369  6131	  58488  6138	  54324  5454	  51012  4865
192 	  76127  5958	  76195  5933	  82746  6747	  86324  6963	  95577  8594	  95755  8606	  88717  7620	  82915  6747
256 	 107719  8064	 107819  8043	 117307  9105	 122042  9347	 136018 11587	 136256 11595	 126024 10259	 117532  9109
384 	 173169 10891	 173328 10871	 189207 12261	 196036 12452	 220550 15707	 220905 15715	 204023 13885	 189547 12261
512 	 242789 15271	 243019 15245	 265734 17317	 274715 17540	 310671 22278	 311149 22284	 287088 19667	 266198 17320
768 	 390993 22692	 391328 22660	 428971 25934	 442266 26137	 503376 33753	 504082 33756	 464615 29673	 429636 25934
1024	 547394 29789	 547855 29753	 601312 34184	 618987 34392	 706987 44634	 707940 44649	 652099 39218	 602207 34179
