# reps=1000, dist name=zero-one, dist param=0, TYPE=UINT64, CACHE_SIZE=16512, SEQREAD_CACHE_SIZE=1024, NR_TASKLETS=1, CALL_OVERHEAD_CYCLES=144, CALL_OVERHEAD_NS=304330
# QUICK_THRESHOLD=18, PIVOT=RANDOM, PARTITION_PRIO=RIGHT, RECURSIVE=true, MERGE_THRESHOLD=14, STRAIGHT_READER=READ_OPT, STABLE=true
n	µ_Normal σ_Normal	µ_TrivialBC σ_TrivialBC	µ_NoTrivial σ_NoTrivial	µ_OneInsertion σ_OneInsertion	µ_ThreshBC σ_ThreshBC	µ_ThreshTrivBC σ_ThreshTrivBC	µ_ThreshThenTriv σ_ThreshThenTriv	µ_TrivInThresh σ_TrivInThresh
16  	   3460   554	   3450   554	   3462   554	   3896   661	   3987   315	   4008   316	   3462   554	   3473   554
24  	   5518   554	   5518   554	   5791   552	   6290   654	   6285   559	   6307   559	   5931   552	   5813   550
32  	   7885   537	   7895   539	   8443   564	   9029   643	   9698   680	   9730   685	   8747   593	   8475   566
48  	  12556   662	  12572   663	  13483   707	  14267   803	  15707   920	  15743   927	  13994   763	  13522   709
64  	  18523   828	  18555   830	  20154   897	  21158  1010	  24316  1171	  24373  1176	  21057   962	  20209   900
96  	  29984   705	  30039   706	  32894   781	  34196   855	  40592  1102	  40671  1108	  34500   913	  32971   781
128 	  43946  1227	  44029  1233	  48431  1382	  50255  1512	  60537  1996	  60641  2006	  50891  1546	  48538  1390
192 	  71655  1311	  71785  1317	  79495  1557	  82018  1650	 101047  2381	 101198  2388	  83766  1875	  79650  1561
256 	 103224  1723	 103413  1730	 114945  2017	 118351  2166	 147527  3133	 147736  3138	 121319  2387	 115161  2027
384 	 167529  2713	 167818  2724	 187431  3222	 192299  3376	 243199  4949	 243507  4968	 198135  3898	 187738  3236
512 	 238295  2281	 238695  2286	 267092  2865	 273707  2988	 348448  5067	 348854  5080	 282558  3793	 267514  2874
768 	 383929  5503	 384514  5526	 431934  6411	 441511  6750	 568246  9688	 568853  9706	 457448  7606	 432543  6437
1024	 542787  4110	 543599  4115	 611519  5248	 624524  5304	 807700  9627	 808532  9632	 648075  7262	 612356  5253
