# reps=1000, dist name=Zipf, dist param=0, TYPE=UINT64, BLOCK_SIZE=16512, SEQREAD_CACHE_SIZE=1024, NR_TASKLETS=1, CALL_OVERHEAD=128
# QUICK_THRESHOLD=18, PIVOT=RANDOM, PARTITION_PRIO=RIGHT, RECURSIVE=true, MERGE_THRESHOLD=32
n	µ_Normal σ_Normal	µ_TrivialBC σ_TrivialBC	µ_NoTrivial σ_NoTrivial	µ_OneInsertion σ_OneInsertion	µ_ThreshBC σ_ThreshBC	µ_ThreshTrivBC σ_ThreshTrivBC	µ_ThreshThenTriv σ_ThreshThenTriv	µ_TrivInThresh σ_TrivInThresh
16  	   5162   622	   5151   623	   5162   622	   5908   743	   5286   571	   5306   568	   5162   622	   5173   623
24  	   8442   959	   8439   954	   8768  1012	   9769  1159	   9309  1123	   9334  1124	   8966  1064	   8790  1011
32  	  11968  1080	  11974  1075	  12523  1158	  13846  1298	  13601  1360	  13635  1364	  12880  1240	  12555  1157
48  	  19702  1497	  19719  1492	  20788  1624	  22744  1783	  23134  1947	  23183  1953	  21529  1765	  20832  1622
64  	  27759  1871	  27785  1864	  29444  2042	  32001  2194	  33225  2479	  33285  2486	  30595  2234	  29503  2040
96  	  44635  2588	  44685  2579	  47706  2812	  51410  2981	  54858  3420	  54950  3426	  49846  3101	  47794  2811
128 	  62162  3300	  62236  3291	  66749  3632	  71535  3800	  77618  4506	  77740  4512	  69956  4059	  66868  3631
192 	  98931  4665	  99054  4655	 106833  5151	 113690  5319	 125928  6453	 126110  6455	 112352  5799	 107005  5148
256 	 137111  6074	 137287  6064	 148743  6830	 157536  6979	 177102  8754	 177343  8761	 156889  7819	 148975  6833
384 	 216402  8630	 216685  8629	 235957  9603	 248304  9719	 284276 12250	 284627 12258	 249574 10972	 236304  9607
512 	 296981 12160	 297373 12156	 325078 13519	 340577 13647	 395124 17161	 395590 17166	 344555 15412	 325548 13518
768 	 464746 18085	 465356 18079	 511246 20232	 532557 20351	 628433 25798	 629135 25804	 543233 23167	 511938 20242
1024	 635011 22150	 635850 22156	 701200 24570	 727601 24633	 869204 31410	 870116 31418	 746419 28045	 702118 24577
