# reps=1000, dist name=almost, dist param=0, TYPE=UINT32, BLOCK_SIZE=16512, SEQREAD_CACHE_SIZE=1024, NR_TASKLETS=1, CALL_OVERHEAD=128
# QUICK_THRESHOLD=18, PIVOT=RANDOM, PARTITION_PRIO=SHORTER, RECURSIVE=true, MERGE_THRESHOLD=32
n	µ_Normal σ_Normal	µ_TrivialBC σ_TrivialBC	µ_NoTrivial σ_NoTrivial	µ_OneInsertion σ_OneInsertion	µ_ThreshBC σ_ThreshBC	µ_ThreshTrivBC σ_ThreshTrivBC	µ_ThreshThenTriv σ_ThreshThenTriv	µ_TrivInThresh σ_TrivInThresh
16  	   2965   561	   2987   560	   2954   561	   3053   561	   3587   468	   3593   463	   2954   561	   2966   561
24  	   5461  1046	   5500   997	   5569  1085	   5823  1137	   5609  1125	   5613  1116	   5741  1159	   5597  1081
32  	   7869  1362	   7926  1320	   8007  1409	   8354  1491	   8216  1511	   8219  1502	   8333  1533	   8042  1407
48  	  13037  1855	  13132  1808	  13239  1905	  13772  1997	  13928  2121	  13927  2114	  13938  2095	  13290  1903
64  	  18702  2316	  18842  2269	  18979  2369	  19688  2472	  20291  2694	  20289  2686	  20091  2621	  19046  2366
96  	  30323  3180	  30535  3119	  30757  3243	  31831  3363	  33540  3880	  33529  3873	  32840  3659	  30860  3237
128 	  43149  3976	  43439  3912	  43742  4035	  45187  4151	  48295  4997	  48275  4989	  46940  4597	  43878  4024
192 	  69699  5523	  70144  5468	  70594  5588	  72759  5721	  79087  7171	  79057  7164	  76230  6456	  70796  5574
256 	  98479  7285	  99069  7220	  99691  7355	 102578  7510	 112578  9559	 112530  9551	 107978  8537	  99955  7349
384 	 158416 10404	 159318 10348	 160226 10465	 164542 10610	 183205 14006	 183131 14004	 174485 12278	 160625 10454
512 	 221636 14502	 222839 14420	 224076 14592	 229851 14779	 257490 19304	 257380 19293	 244500 16995	 224608 14579
768 	 354696 20168	 356501 20056	 358373 20239	 367049 20397	 415443 28024	 415276 28010	 392521 24096	 359168 20212
1024	 495765 27414	 498168 27315	 500709 27493	 512334 27668	 583139 37620	 582912 37606	 549482 32447	 501778 27477
