# reps=1000, dist name=normal, dist param=0, TYPE=UINT32, BLOCK_SIZE=16512, SEQREAD_CACHE_SIZE=1024, NR_TASKLETS=1, CALL_OVERHEAD=128
# QUICK_THRESHOLD=18, PIVOT=RANDOM, PARTITION_PRIO=SHORTER, RECURSIVE=true, MERGE_THRESHOLD=32
n	µ_Normal σ_Normal	µ_TrivialBC σ_TrivialBC	µ_NoTrivial σ_NoTrivial	µ_OneInsertion σ_OneInsertion	µ_ThreshBC σ_ThreshBC	µ_ThreshTrivBC σ_ThreshTrivBC	µ_ThreshThenTriv σ_ThreshThenTriv	µ_TrivInThresh σ_TrivInThresh
16  	   3911   499	   3934   499	   3901   499	   4000   499	   4167   461	   4175   455	   3901   499	   3912   499
24  	   7171   822	   7219   792	   7272   848	   7517   886	   7356   888	   7362   881	   7434   905	   7300   844
32  	  10401   983	  10477   952	  10526  1018	  10860  1074	  10805  1097	  10811  1092	  10828  1106	  10562  1015
48  	  17725  1387	  17844  1345	  17910  1422	  18429  1485	  18776  1620	  18780  1615	  18580  1577	  17965  1416
64  	  25438  1865	  25601  1810	  25695  1906	  26391  1980	  27345  2319	  27346  2314	  26800  2179	  25764  1896
96  	  42027  2527	  42293  2484	  42424  2562	  43465  2645	  45785  3213	  45784  3208	  44447  2953	  42525  2555
128 	  59520  3359	  59886  3318	  60072  3396	  61482  3484	  65453  4396	  65448  4391	  63159  3955	  60215  3387
192 	  97097  4957	  97661  4915	  97911  4991	 100014  5094	 107959  6580	 107943  6580	 103382  5844	  98124  4984
256 	 136617  5938	 137368  5903	 137732  5967	 140546  6067	 152871  8234	 152848  8231	 145766  7142	 138009  5954
384 	 219371  9205	 220539  9163	 221041  9227	 225254  9312	 247729 12951	 247689 12955	 234767 11110	 221460  9209
512 	 307992 12340	 309548 12299	 310245 12374	 315898 12469	 349848 17388	 349789 17388	 330311 14883	 310802 12363
768 	 493082 18475	 495421 18414	 496466 18518	 504954 18622	 563633 26055	 563544 26055	 529906 22259	 497304 18501
1024	 686158 23486	 689276 23429	 690681 23531	 701975 23609	 788026 33481	 787905 33479	 738593 28437	 691786 23497
