# reps=1000, dist name=reverse, dist param=0, TYPE=UINT64, BLOCK_SIZE=16512, SEQREAD_CACHE_SIZE=1024, NR_TASKLETS=1, CALL_OVERHEAD=128
# QUICK_THRESHOLD=18, PIVOT=RANDOM, PARTITION_PRIO=SHORTER, RECURSIVE=true, MERGE_THRESHOLD=32
n	µ_Normal σ_Normal	µ_TrivialBC σ_TrivialBC	µ_NoTrivial σ_NoTrivial	µ_OneInsertion σ_OneInsertion	µ_ThreshBC σ_ThreshBC	µ_ThreshTrivBC σ_ThreshTrivBC	µ_ThreshThenTriv σ_ThreshThenTriv	µ_TrivInThresh σ_TrivInThresh
16  	   9966    10	   9987    13	   9956    13	  10054    16	   5628  1579	   5634  1571	   9955    13	   9967    11
24  	   8661  2182	   8686  2158	   8768  2207	   9068  2256	   8161  1973	   8166  1968	   8926  2249	   8779  2202
32  	  11892  2807	  11920  2783	  12032  2848	  12455  2949	  11289  2584	  11292  2579	  12337  2946	  12041  2841
48  	  19283  2644	  19331  2664	  19480  2678	  20128  2766	  18446  2497	  18447  2490	  20123  2819	  19489  2668
64  	  27446  3450	  27507  3519	  27732  3505	  28612  3624	  26401  3325	  26397  3316	  28786  3750	  27737  3489
96  	  44772  4245	  44873  4432	  45197  4295	  46541  4428	  43290  4241	  43279  4234	  47182  4665	  45207  4275
128 	  63401  5151	  63489  5432	  63989  5201	  65807  5349	  61437  5234	  61415  5229	  67008  5699	  63998  5181
192 	 103399  7537	 103558  8045	 104294  7593	 107037  7743	 100586  7845	 100549  7835	 109711  8431	 104298  7571
256 	 145667  9896	 146012 10674	 146880  9972	 150578 10164	 142071 10443	 142022 10429	 154956 11130	 146870  9946
384 	 234599 13789	 234973 15142	 236417 13851	 241932 14029	 229184 14900	 229104 14887	 250139 15602	 236407 13825
512 	 328792 18535	 329470 20206	 331236 18612	 338606 18818	 321805 19943	 321697 19924	 351205 20958	 331206 18587
768 	 526393 27129	 527414 29977	 530073 27188	 541150 27365	 515944 29635	 515769 29636	 563377 30790	 530029 27154
1024	 733213 35619	 734679 39691	 738132 35700	 752982 35892	 719375 39307	 719145 39285	 785710 40644	 738087 35665
