# reps=1000, dist name=sorted, dist param=0, TYPE=UINT64, BLOCK_SIZE=16512, SEQREAD_CACHE_SIZE=1024, NR_TASKLETS=1, CALL_OVERHEAD=128
# QUICK_THRESHOLD=18, PIVOT=RANDOM, PARTITION_PRIO=SHORTER, RECURSIVE=true, MERGE_THRESHOLD=32
n	µ_Normal σ_Normal	µ_TrivialBC σ_TrivialBC	µ_NoTrivial σ_NoTrivial	µ_OneInsertion σ_OneInsertion	µ_ThreshBC σ_ThreshBC	µ_ThreshTrivBC σ_ThreshTrivBC	µ_ThreshThenTriv σ_ThreshThenTriv	µ_TrivInThresh σ_TrivInThresh
16  	   1699     7	   1728     4	   1696     3	   1795     6	   2904    61	   2911    51	   1696     3	   1700     8
24  	   5272  1118	   5294  1077	   5381  1157	   5680  1234	   4921  1028	   4926  1019	   5536  1224	   5392  1149
32  	   8097  1820	   8121  1777	   8237  1873	   8658  1995	   7588  1676	   7591  1666	   8537  1988	   8247  1864
48  	  14383  2381	  14426  2344	  14582  2436	  15232  2564	  13598  2226	  13599  2217	  15228  2597	  14590  2427
64  	  21188  3017	  21284  2987	  21468  3068	  22344  3213	  20188  2848	  20185  2839	  22531  3286	  21474  3062
96  	  36119  4106	  36208  4133	  36548  4171	  37888  4326	  34572  3980	  34562  3972	  38516  4503	  36555  4157
128 	  52460  5343	  52584  5430	  53050  5409	  54868  5581	  50402  5264	  50382  5254	  56086  5881	  53058  5395
192 	  87500  7656	  87782  7805	  88398  7723	  91140  7900	  84508  7632	  84477  7621	  93842  8424	  88398  7708
256 	 125222 10119	 125566 10335	 126429 10192	 130114 10383	 121173 10179	 121125 10164	 134495 11146	 126423 10181
384 	 204439 14478	 205074 15042	 206242 14533	 211731 14721	 198556 14846	 198483 14837	 220053 16020	 206231 14522
512 	 289317 20074	 289809 20564	 291770 20155	 299159 20359	 281108 20346	 280994 20333	 311647 22121	 291750 20132
768 	 468041 28015	 469002 29602	 471723 28082	 482799 28260	 455953 29438	 455787 29432	 505018 31292	 471676 28053
1024	 656598 37170	 657673 38187	 661530 37243	 676379 37438	 640229 38037	 639996 38026	 709032 40974	 661470 37235
