# reps=1000, dist name=zero-one, dist param=0, TYPE=UINT64, CACHE_SIZE=16512, SEQREAD_CACHE_SIZE=1024, NR_TASKLETS=1, CALL_OVERHEAD_CYCLES=144, CALL_OVERHEAD_NS=304330
# QUICK_THRESHOLD=18, PIVOT=RANDOM, PARTITION_PRIO=SHORTER, RECURSIVE=true, MERGE_THRESHOLD=14, STRAIGHT_READER=READ_OPT, STABLE=true
n	µ_Normal σ_Normal	µ_TrivialBC σ_TrivialBC	µ_NoTrivial σ_NoTrivial	µ_OneInsertion σ_OneInsertion	µ_ThreshBC σ_ThreshBC	µ_ThreshTrivBC σ_ThreshTrivBC	µ_ThreshThenTriv σ_ThreshThenTriv	µ_TrivInThresh σ_TrivInThresh
16  	   3839   661	   3862   661	   3830   661	   3930   660	   3843   355	   3854   355	   3829   661	   3842   661
24  	   6418   661	   6475   655	   6498   659	   6736   661	   6121   635	   6133   635	   6605   655	   6514   661
32  	   9401   667	   9490   684	   9504   666	   9890   684	   9064   682	   9075   685	   9749   682	   9523   668
48  	  14998   829	  15090   865	  15118   841	  15585   882	  14636   884	  14645   889	  15557   871	  15140   844
64  	  22531  1051	  22702  1088	  22744  1073	  23469  1121	  22386  1087	  22396  1090	  23528  1098	  22786  1079
96  	  36801   831	  37035   958	  37105   837	  38136   871	  37024   959	  37035   963	  38549   901	  37173   840
128 	  54257  1587	  54615  1711	  54686  1621	  56127  1722	  54866  1727	  54874  1728	  56926  1699	  54801  1633
192 	  89310  1710	  89839  1950	  89980  1738	  92085  1828	  91088  1991	  91097  1996	  93919  1891	  90170  1753
256 	 129196  2184	 129964  2560	 130120  2216	 133082  2346	 132166  2542	 132174  2540	 136027  2409	 130411  2236
384 	 211105  3460	 212247  3987	 212500  3513	 216836  3670	 217023  3984	 217032  3985	 222548  3860	 212968  3542
512 	 301100  2868	 302625  3930	 302974  2902	 308892  3032	 310108  3933	 310119  3934	 317546  3389	 303653  2922
768 	 487703  7051	 489975  8123	 490549  7163	 499264  7507	 503991  8078	 504002  8081	 514801  7873	 491598  7214
1024	 690590  4649	 693840  6992	 694388  4663	 706323  4736	 714656  7004	 714675  7001	 729270  5692	 695860  4686
