# reps=1000, dist name=Zipf, dist param=0, TYPE=UINT64, BLOCK_SIZE=16512, SEQREAD_CACHE_SIZE=1024, NR_TASKLETS=1, CALL_OVERHEAD=128
# QUICK_THRESHOLD=18, PIVOT=RANDOM, PARTITION_PRIO=SHORTER, RECURSIVE=true, MERGE_THRESHOLD=32
n	µ_Normal σ_Normal	µ_TrivialBC σ_TrivialBC	µ_NoTrivial σ_NoTrivial	µ_OneInsertion σ_OneInsertion	µ_ThreshBC σ_ThreshBC	µ_ThreshTrivBC σ_ThreshTrivBC	µ_ThreshThenTriv σ_ThreshThenTriv	µ_TrivInThresh σ_TrivInThresh
16  	   5852   743	   5875   744	   5842   744	   5941   743	   5324   674	   5331   671	   5842   744	   5853   744
24  	   9924  1190	   9950  1156	  10029  1215	  10331  1260	   9278  1101	   9286  1098	  10182  1250	  10041  1211
32  	  14191  1357	  14241  1319	  14320  1391	  14737  1453	  13348  1272	  13356  1270	  14609  1445	  14331  1385
48  	  23556  1905	  23632  1864	  23743  1938	  24387  2019	  22358  1803	  22363  1801	  24372  2036	  23754  1932
64  	  33348  2376	  33400  2316	  33611  2414	  34475  2501	  31806  2254	  31808  2253	  34603  2547	  33626  2409
96  	  54048  3223	  54168  3160	  54438  3257	  55743  3359	  52035  3099	  52039  3099	  56320  3455	  54451  3251
128 	  75478  4110	  75664  4161	  76009  4140	  77743  4233	  73044  4035	  73041  4034	  78882  4477	  76024  4132
192 	 120893  5868	 121129  5894	 121694  5901	 124298  6004	 117841  5777	 117836  5778	 126714  6377	 121719  5894
256 	 168043  7508	 168437  7775	 169101  7532	 172524  7616	 164687  7672	 164676  7668	 176520  8275	 169136  7523
384 	 266405 10715	 266949 11136	 267978 10747	 273085 10840	 262718 10999	 262697 11005	 280569 11829	 268050 10739
512 	 366886 14829	 367693 15044	 368951 14853	 375673 14954	 363323 14942	 363300 14937	 387070 16210	 369062 14857
768 	 576435 22794	 577555 23061	 579475 22812	 589366 22902	 573989 22836	 573956 22831	 609451 24931	 579687 22823
1024	 790692 27764	 792143 27980	 794710 27787	 807732 27874	 790365 27821	 790329 27823	 837058 30308	 795030 27805
