# reps=1000, dist name=Zipf, dist param=0, TYPE=UINT32, BLOCK_SIZE=16512, SEQREAD_CACHE_SIZE=1024, NR_TASKLETS=1, CALL_OVERHEAD=128
# QUICK_THRESHOLD=18, PIVOT=LAST, PARTITION_PRIO=LEFT, RECURSIVE=true, MERGE_THRESHOLD=32
n	µ_Normal σ_Normal	µ_TrivialBC σ_TrivialBC	µ_NoTrivial σ_NoTrivial	µ_OneInsertion σ_OneInsertion	µ_ThreshBC σ_ThreshBC	µ_ThreshTrivBC σ_ThreshTrivBC	µ_ThreshThenTriv σ_ThreshThenTriv	µ_TrivInThresh σ_TrivInThresh
16  	   4150   500	   4141   501	   4162   501	   4262   501	   4093   493	   4114   490	   4163   501	   4173   501
24  	   6707   750	   6698   743	   6998   813	   7267   847	   7243   891	   7268   893	   7014   816	   7020   811
32  	   9575   877	   9570   863	  10083   978	  10448  1034	  10598  1114	  10631  1121	  10107   983	  10113   977
48  	  15751  1219	  15756  1205	  16774  1399	  17332  1461	  17933  1639	  17983  1649	  16816  1405	  16819  1400
64  	  22355  1495	  22364  1481	  23969  1724	  24718  1789	  25865  2021	  25930  2034	  24028  1730	  24027  1723
96  	  36143  2098	  36174  2081	  39066  2441	  40191  2503	  42622  2862	  42719  2871	  39161  2448	  39156  2441
128 	  50666  2654	  50715  2641	  55045  3107	  56537  3163	  60439  3652	  60564  3662	  55170  3110	  55159  3103
192 	  81304  3980	  81387  3962	  88957  4690	  91191  4748	  98522  5512	  98704  5524	  89149  4695	  89131  4688
256 	 113320  5217	 113459  5208	 124573  6225	 127524  6281	 138759  7380	 139004  7388	 124824  6231	 124802  6221
384 	 179417  7675	 179642  7651	 198449  9116	 202843  9163	 222653 10747	 223014 10759	 198829  9118	 198799  9116
512 	 248459 10219	 248781 10198	 275990 12027	 281793 12083	 311212 14077	 311684 14088	 276497 12036	 276456 12028
768 	 391100 15973	 391627 15967	 436530 18843	 445042 18879	 495186 22029	 495886 22036	 437266 18850	 437219 18851
1024	 536616 20633	 537337 20623	 601381 24751	 612575 24805	 685513 29323	 686433 29326	 602345 24755	 602301 24751
