# reps=1000, dist name=normal, dist param=0, TYPE=UINT64, BLOCK_SIZE=16512, SEQREAD_CACHE_SIZE=1024, NR_TASKLETS=1, CALL_OVERHEAD=128
# QUICK_THRESHOLD=18, PIVOT=LAST, PARTITION_PRIO=LEFT, RECURSIVE=true, MERGE_THRESHOLD=32
n	µ_Normal σ_Normal	µ_TrivialBC σ_TrivialBC	µ_NoTrivial σ_NoTrivial	µ_OneInsertion σ_OneInsertion	µ_ThreshBC σ_ThreshBC	µ_ThreshTrivBC σ_ThreshTrivBC	µ_ThreshThenTriv σ_ThreshThenTriv	µ_TrivInThresh σ_TrivInThresh
16  	   5303   740	   5293   740	   5315   740	   5414   740	   4851   593	   4870   591	   5315   740	   5326   741
24  	   8579   989	   8571   979	   8873  1027	   9201  1066	   8840  1039	   8864  1041	   8889  1030	   8896  1024
32  	  12444  1266	  12438  1250	  12966  1322	  13428  1372	  13138  1375	  13171  1379	  12990  1326	  12994  1318
48  	  20821  1613	  20827  1599	  21846  1711	  22555  1786	  22486  1875	  22532  1881	  21888  1717	  21890  1712
64  	  30039  2229	  30055  2213	  31655  2406	  32627  2484	  32873  2637	  32933  2643	  31714  2413	  31714  2405
96  	  49628  3196	  49659  3178	  52635  3459	  54142  3544	  55269  3826	  55365  3835	  52731  3464	  52726  3456
128 	  70689  4287	  70735  4269	  75212  4722	  77249  4813	  79364  5283	  79494  5293	  75341  4730	  75329  4723
192 	 114984  6322	 115071  6311	 122797  6932	 125870  7025	 130426  7731	 130619  7741	 122993  6935	 122974  6929
256 	 162746  8424	 162879  8410	 174220  9236	 178299  9312	 185666 10206	 185918 10214	 174484  9238	 174452  9232
384 	 263078 13255	 263282 13241	 282667 14614	 288861 14730	 302866 16213	 303243 16227	 283068 14623	 283016 14617
512 	 369497 17442	 369768 17430	 397687 19190	 405980 19288	 427294 21284	 427802 21295	 398230 19198	 398158 19191
768 	 590618 24860	 591045 24846	 637194 27435	 649670 27502	 687193 30488	 687952 30514	 638011 27439	 637893 27442
1024	 826180 35160	 826757 35150	 893042 38946	 909655 39055	 965576 43246	 966573 43255	 894130 38956	 893973 38947
