# reps=1000, dist name=uniform, dist param=0, TYPE=UINT64, BLOCK_SIZE=16512, SEQREAD_CACHE_SIZE=1024, NR_TASKLETS=1, CALL_OVERHEAD=128
# QUICK_THRESHOLD=18, PIVOT=LAST, PARTITION_PRIO=LEFT, RECURSIVE=true, MERGE_THRESHOLD=32
n	µ_Normal σ_Normal	µ_TrivialBC σ_TrivialBC	µ_NoTrivial σ_NoTrivial	µ_OneInsertion σ_OneInsertion	µ_ThreshBC σ_ThreshBC	µ_ThreshTrivBC σ_ThreshTrivBC	µ_ThreshThenTriv σ_ThreshThenTriv	µ_TrivInThresh σ_TrivInThresh
16  	   5843   738	   5833   738	   5854   738	   5954   738	   5344   670	   5362   667	   5854   738	   5866   738
24  	   9345  1077	   9336  1064	   9647  1127	   9982  1169	   9550  1162	   9575  1164	   9664  1130	   9669  1123
32  	  13517  1313	  13511  1299	  14042  1400	  14509  1461	  14119  1497	  14151  1500	  14067  1405	  14070  1397
48  	  22328  1799	  22331  1783	  23382  1948	  24112  2023	  23898  2163	  23945  2169	  23424  1954	  23425  1945
64  	  32137  2350	  32149  2331	  33811  2565	  34821  2650	  34907  2839	  34971  2845	  33871  2572	  33869  2562
96  	  52707  3235	  52739  3222	  55753  3583	  57282  3684	  58107  4095	  58201  4105	  55848  3593	  55836  3580
128 	  74821  4381	  74862  4353	  79410  4806	  81484  4918	  83240  5399	  83368  5409	  79541  4817	  79521  4803
192 	 121493  6527	 121574  6513	 129495  7229	 132614  7330	 136725  8066	 136912  8075	 129694  7237	 129661  7222
256 	 171190  8882	 171304  8863	 182936  9794	 187110  9874	 193981 10942	 194228 10951	 183206  9798	 183158  9788
384 	 275245 13803	 275430 13780	 295061 15306	 301361 15411	 314452 17076	 314833 17089	 295474 15316	 295396 15305
512 	 385134 17751	 385378 17730	 413684 19704	 422128 19803	 442319 21971	 442827 21977	 414239 19714	 414134 19702
768 	 617821 26440	 618204 26420	 665375 29252	 678024 29347	 714202 32549	 714971 32555	 666208 29254	 666035 29240
1024	 858136 34939	 858657 34925	 925219 38402	 942101 38507	 994960 42411	 995971 42418	 926340 38419	 926106 38395
