# reps=1000, dist name=Zipf, dist param=0, TYPE=UINT32, BLOCK_SIZE=16512, SEQREAD_CACHE_SIZE=1024, NR_TASKLETS=1, CALL_OVERHEAD=128
# QUICK_THRESHOLD=18, PIVOT=LAST, PARTITION_PRIO=RIGHT, RECURSIVE=true, MERGE_THRESHOLD=32
n	µ_Normal σ_Normal	µ_TrivialBC σ_TrivialBC	µ_NoTrivial σ_NoTrivial	µ_OneInsertion σ_OneInsertion	µ_ThreshBC σ_ThreshBC	µ_ThreshTrivBC σ_ThreshTrivBC	µ_ThreshThenTriv σ_ThreshThenTriv	µ_TrivInThresh σ_TrivInThresh
16  	   4183   501	   4173   500	   4184   500	   4250   501	   4246   461	   4266   457	   4184   500	   4195   501
24  	   6786   750	   6782   745	   7079   798	   7269   823	   7487   853	   7512   853	   7096   803	   7103   798
32  	   9685   909	   9690   906	  10195   986	  10456  1026	  11000  1101	  11032  1104	  10220   992	  10226   985
48  	  15914  1235	  15929  1231	  16942  1355	  17343  1401	  18698  1516	  18746  1520	  16983  1362	  16987  1354
64  	  22592  1566	  22618  1565	  24214  1699	  24754  1748	  27053  1893	  27117  1899	  24274  1707	  24272  1699
96  	  36524  2179	  36576  2176	  39464  2365	  40279  2413	  44760  2611	  44852  2616	  39556  2375	  39552  2364
128 	  51230  2839	  51301  2834	  55629  3027	  56709  3070	  63661  3296	  63781  3298	  55751  3033	  55744  3026
192 	  82180  4151	  82310  4146	  89870  4471	  91497  4515	 104064  4907	 104242  4907	  90059  4477	  90044  4468
256 	 114487  5474	 114663  5471	 125770  5903	 127927  5950	 146782  6472	 147022  6476	 126024  5910	 126001  5902
384 	 181134  8120	 181429  8118	 200233  8684	 203442  8729	 236247  9465	 236604  9463	 200611  8695	 200584  8689
512 	 250752 10945	 251165 10945	 278376 11684	 282617 11724	 330829 12653	 331291 12656	 278881 11687	 278840 11679
768 	 395323 16993	 395966 16998	 440882 18212	 447120 18238	 528638 19756	 529322 19759	 441619 18217	 441577 18212
1024	 541803 21372	 542669 21377	 606746 23132	 614939 23173	 733041 25513	 733938 25515	 607709 23137	 607654 23131
