# reps=1000, dist name=normal, dist param=0, TYPE=UINT64, BLOCK_SIZE=16512, SEQREAD_CACHE_SIZE=1024, NR_TASKLETS=1, CALL_OVERHEAD=128
# QUICK_THRESHOLD=18, PIVOT=LAST, PARTITION_PRIO=RIGHT, RECURSIVE=true, MERGE_THRESHOLD=32
n	µ_Normal σ_Normal	µ_TrivialBC σ_TrivialBC	µ_NoTrivial σ_NoTrivial	µ_OneInsertion σ_OneInsertion	µ_ThreshBC σ_ThreshBC	µ_ThreshTrivBC σ_ThreshTrivBC	µ_ThreshThenTriv σ_ThreshThenTriv	µ_TrivInThresh σ_TrivInThresh
16  	   4768   620	   4757   620	   4769   619	   5404   739	   4600   518	   4618   514	   4769   619	   4780   619
24  	   7684   822	   7679   814	   7983   863	   9015  1035	   8302   899	   8326   900	   7999   866	   8005   860
32  	  11073  1049	  11071  1036	  11598  1110	  13071  1309	  12297  1188	  12328  1187	  11623  1115	  11628  1107
48  	  18387  1326	  18398  1317	  19415  1431	  21841  1688	  20982  1572	  21030  1576	  19456  1436	  19459  1431
64  	  26389  1818	  26412  1806	  28014  2001	  31453  2338	  30603  2211	  30664  2213	  28072  2007	  28073  2000
96  	  43347  2587	  43389  2575	  46367  2859	  51983  3314	  51319  3166	  51413  3171	  46459  2864	  46455  2854
128 	  61516  3455	  61578  3443	  66057  3893	  73965  4562	  73602  4365	  73723  4373	  66185  3901	  66173  3892
192 	  99655  5071	  99770  5065	 107492  5686	 120099  6577	 120769  6361	 120954  6369	 107687  5692	 107668  5685
256 	 140635  6737	 140794  6726	 152145  7570	 169817  8756	 171712  8455	 171956  8463	 152408  7575	 152375  7564
384 	 226562 10587	 226813 10573	 246200 11976	 274522 13859	 279682 13459	 280047 13467	 246602 11988	 246551 11982
512 	 317507 13910	 317850 13896	 345771 15694	 385079 18083	 394171 17597	 394666 17603	 346310 15696	 346233 15695
768 	 506267 19800	 506782 19793	 552946 22423	 615002 25903	 633362 25145	 634101 25150	 553756 22431	 553642 22425
1024	 706829 27996	 707530 27994	 773827 31884	 860309 36865	 889033 35952	 890012 35964	 774914 31888	 774755 31880
