# reps=1000, dist name=Zipf, dist param=0, TYPE=UINT32, BLOCK_SIZE=16512, SEQREAD_CACHE_SIZE=1024, NR_TASKLETS=1, CALL_OVERHEAD=128
# QUICK_THRESHOLD=18, PIVOT=LAST, PARTITION_PRIO=SHORTER, RECURSIVE=true, MERGE_THRESHOLD=32
n	µ_Normal σ_Normal	µ_TrivialBC σ_TrivialBC	µ_NoTrivial σ_NoTrivial	µ_OneInsertion σ_OneInsertion	µ_ThreshBC σ_ThreshBC	µ_ThreshTrivBC σ_ThreshTrivBC	µ_ThreshThenTriv σ_ThreshThenTriv	µ_TrivInThresh σ_TrivInThresh
16  	   4227   501	   4250   501	   4206   501	   4317   501	   4182   493	   4201   489	   4218   500	   4218   501
24  	   7187   800	   7236   772	   7415   871	   7675   914	   7312   858	   7336   859	   7439   877	   7438   870
32  	  10314   965	  10387   931	  10692  1075	  11054  1149	  10634  1062	  10664  1064	  10729  1086	  10722  1075
48  	  17057  1320	  17180  1287	  17810  1492	  18364  1574	  17956  1538	  18003  1545	  17870  1505	  17856  1492
64  	  24266  1601	  24427  1567	  25463  1821	  26202  1913	  25907  1904	  25968  1912	  25543  1836	  25522  1820
96  	  39345  2182	  39603  2135	  41506  2518	  42605  2610	  42710  2737	  42799  2743	  41624  2535	  41593  2518
128 	  55250  2719	  55596  2671	  58471  3164	  59927  3257	  60583  3520	  60699  3526	  58632  3184	  58588  3165
192 	  88858  4016	  89403  3959	  94459  4731	  96636  4822	  98754  5381	  98931  5385	  94701  4745	  94631  4729
256 	 124044  5211	 124811  5177	 132218  6228	 135094  6323	 139094  7226	 139326  7232	 132538  6247	 132452  6229
384 	 196969  7581	 198177  7544	 210690  9086	 214947  9160	 223309 10636	 223659 10642	 211159  9097	 211036  9084
512 	 273256 10107	 274911 10069	 292970 11998	 298581 12083	 312125 13981	 312579 13984	 293589 12014	 293435 11997
768 	 431293 15668	 433876 15655	 463427 18687	 471624 18751	 496744 21954	 497420 21960	 464320 18702	 464110 18693
1024	 593367 20310	 596881 20317	 638779 24630	 649527 24716	 687808 29264	 688700 29273	 639947 24648	 639700 24636
