# reps=1000, dist name=normal, dist param=0, TYPE=UINT64, BLOCK_SIZE=16512, SEQREAD_CACHE_SIZE=1024, NR_TASKLETS=1, CALL_OVERHEAD=128
# QUICK_THRESHOLD=18, PIVOT=LAST, PARTITION_PRIO=SHORTER, RECURSIVE=true, MERGE_THRESHOLD=32
n	µ_Normal σ_Normal	µ_TrivialBC σ_TrivialBC	µ_NoTrivial σ_NoTrivial	µ_OneInsertion σ_OneInsertion	µ_ThreshBC σ_ThreshBC	µ_ThreshTrivBC σ_ThreshTrivBC	µ_ThreshThenTriv σ_ThreshThenTriv	µ_TrivInThresh σ_TrivInThresh
16  	   5380   739	   5403   740	   5359   740	   5470   740	   4688   594	   4706   589	   5370   740	   5371   740
24  	   9085  1029	   9117  1002	   9297  1075	   9615  1123	   8448   952	   8471   951	   9335  1085	   9319  1073
32  	  13234  1323	  13256  1266	  13594  1395	  14051  1462	  12379  1212	  12408  1209	  13656  1409	  13622  1393
48  	  22178  1694	  22240  1654	  22881  1800	  23588  1893	  20965  1590	  21011  1592	  22980  1816	  22926  1799
64  	  32026  2319	  32075  2296	  33156  2498	  34119  2597	  30445  2204	  30502  2206	  33294  2517	  33214  2496
96  	  52962  3280	  53091  3258	  55107  3547	  56588  3655	  50779  3192	  50868  3196	  55322  3569	  55191  3544
128 	  75439  4355	  75588  4503	  78687  4796	  80691  4912	  72593  4412	  72713  4419	  78982  4818	  78801  4795
192 	 122726  6383	 122891  6511	 128343  6990	 131363  7119	 118685  6429	 118863  6435	 128788  7017	 128518  6992
256 	 173581  8428	 173811  8661	 181878  9265	 185883  9375	 168438  8502	 168672  8506	 182471  9287	 182110  9265
384 	 280552 13241	 281111 13739	 294814 14657	 300897 14802	 273580 13544	 273937 13552	 295722 14682	 295164 14658
512 	 393931 17354	 394436 17965	 414483 19184	 422611 19312	 384954 17772	 385433 17781	 415695 19209	 414952 19184
768 	 629647 24619	 630226 25698	 663621 27315	 675843 27424	 617245 25559	 617954 25570	 665437 27340	 664315 27316
1024	 880330 34852	 881707 36631	 929314 38832	 945612 38966	 865478 36282	 866426 36284	 931752 38861	 930246 38840
