# reps=1000, dist name=sorted, dist param=0, TYPE=UINT32, BLOCK_SIZE=16512, SEQREAD_CACHE_SIZE=1024, NR_TASKLETS=1, CALL_OVERHEAD=128
# QUICK_THRESHOLD=18, PIVOT=MEDIAN, PARTITION_PRIO=LEFT, RECURSIVE=true, MERGE_THRESHOLD=32
n	µ_Normal σ_Normal	µ_TrivialBC σ_TrivialBC	µ_NoTrivial σ_NoTrivial	µ_OneInsertion σ_OneInsertion	µ_ThreshBC σ_ThreshBC	µ_ThreshTrivBC σ_ThreshTrivBC	µ_ThreshThenTriv σ_ThreshThenTriv	µ_TrivInThresh σ_TrivInThresh
16  	   1298     6	   1283     7	   1331     6	   1428     7	   2406     9	   2432     4	   1331     6	   1344     2
24  	   3175    10	   3176    10	   3432    10	   3655     8	   3425     5	   3447     8	   3447     8	   3457     5
32  	   4106    11	   4106    10	   4402     6	   4626     7	   4441     8	   4459    11	   4411    11	   4427    11
48  	   8457    12	   8483    12	   9263    11	   9739    12	   9573    13	   9616    11	   9296    10	   9306    12
64  	  10925    14	  10952    13	  11908    12	  12383    14	  12394    14	  12436    13	  11940    13	  11950    13
96  	  20834    17	  20898    17	  23004    18	  23986    19	  24217    18	  24302    20	  23081    21	  23093    19
128 	  27004    19	  27068    20	  29702    21	  30685    20	  31444    20	  31531    24	  29780    22	  29791    22
192 	  49248    26	  49403    26	  54682    28	  56675    30	  58230    29	  58405    30	  54847    28	  54858    25
256 	  64057    30	  64209    32	  70900    32	  72893    35	  75860    34	  76035    35	  71065    33	  71074    31
384 	 113451    40	 113787    41	 126466    42	 130487    45	 135745    42	 136097    45	 126811    43	 126818    42
512 	 148001    47	 148332    46	 164543    49	 168567    48	 177354    49	 177700    49	 164886    46	 164899    48
768 	 256634    60	 257314    58	 286929    65	 295001    68	 309785    67	 310487    68	 287621    65	 287632    65
1024	 335607    70	 336294    70	 374367    75	 382442    73	 405681    75	 406390    77	 375059    72	 375067    75
