# reps=1000, dist name=Zipf, dist param=0, TYPE=UINT32, BLOCK_SIZE=16512, SEQREAD_CACHE_SIZE=1024, NR_TASKLETS=1, CALL_OVERHEAD=128
# QUICK_THRESHOLD=18, PIVOT=MEDIAN, PARTITION_PRIO=LEFT, RECURSIVE=true, MERGE_THRESHOLD=32
n	µ_Normal σ_Normal	µ_TrivialBC σ_TrivialBC	µ_NoTrivial σ_NoTrivial	µ_OneInsertion σ_OneInsertion	µ_ThreshBC σ_ThreshBC	µ_ThreshTrivBC σ_ThreshTrivBC	µ_ThreshThenTriv σ_ThreshThenTriv	µ_TrivInThresh σ_TrivInThresh
16  	   4150   501	   4140   501	   4184   501	   4283   501	   4132   390	   4153   389	   4184   501	   4195   501
24  	   6668   613	   6669   614	   7084   645	   7327   663	   7154   678	   7177   680	   7098   647	   7107   647
32  	   9562   720	   9568   718	  10249   761	  10572   790	  10466   817	  10496   823	  10270   764	  10279   761
48  	  15649   937	  15670   935	  17012  1019	  17506  1044	  17621  1141	  17666  1150	  17047  1021	  17056  1021
64  	  22149  1102	  22186  1101	  24278  1205	  24946  1231	  25344  1360	  25404  1368	  24329  1208	  24338  1206
96  	  35708  1538	  35773  1535	  39580  1752	  40582  1775	  41727  2057	  41816  2069	  39659  1754	  39669  1754
128 	  50047  1776	  50138  1775	  55861  2024	  57212  2052	  59224  2371	  59343  2382	  55971  2025	  55978  2026
192 	  79704  2482	  79849  2478	  89740  2892	  91741  2928	  95824  3435	  95998  3446	  89908  2896	  89915  2893
256 	 110778  3170	 110980  3173	 125486  3731	 128152  3767	 134600  4471	 134830  4479	 125711  3736	 125717  3737
384 	 175256  4607	 175567  4609	 200207  5527	 204212  5573	 216010  6675	 216349  6684	 200548  5530	 200555  5529
512 	 242118  5942	 242538  5943	 278218  7201	 283500  7245	 301474  8746	 301929  8754	 278670  7203	 278678  7199
768 	 380813  8619	 381458  8626	 440989 10438	 448875 10487	 480265 12730	 480930 12739	 441666 10446	 441671 10442
1024	 522987 11936	 523843 11941	 608769 14761	 619167 14822	 665117 18160	 665997 18167	 609666 14770	 609667 14763
