# reps=1000, dist name=almost, dist param=0, TYPE=UINT64, BLOCK_SIZE=16512, SEQREAD_CACHE_SIZE=1024, NR_TASKLETS=1, CALL_OVERHEAD=128
# QUICK_THRESHOLD=18, PIVOT=MEDIAN, PARTITION_PRIO=LEFT, RECURSIVE=true, MERGE_THRESHOLD=32
n	µ_Normal σ_Normal	µ_TrivialBC σ_TrivialBC	µ_NoTrivial σ_NoTrivial	µ_OneInsertion σ_OneInsertion	µ_ThreshBC σ_ThreshBC	µ_ThreshTrivBC σ_ThreshTrivBC	µ_ThreshThenTriv σ_ThreshThenTriv	µ_TrivInThresh σ_TrivInThresh
16  	   3895   819	   3883   820	   3928   819	   4027   819	   4209   556	   4230   554	   3928   820	   3939   819
24  	   5973   898	   5971   895	   6302   943	   6598   982	   6243   946	   6267   949	   6316   945	   6326   944
32  	   8450  1132	   8453  1132	   8886  1207	   9220  1259	   8846  1236	   8871  1240	   8903  1209	   8911  1208
48  	  13777  1313	  13796  1309	  14749  1402	  15391  1458	  15049  1444	  15094  1448	  14783  1405	  14792  1402
64  	  19407  1742	  19433  1743	  20737  1911	  21482  2004	  21237  2028	  21287  2037	  20779  1916	  20789  1915
96  	  31675  2047	  31735  2046	  34159  2251	  35473  2340	  35463  2409	  35550  2416	  34238  2256	  34246  2255
128 	  43722  3020	  43796  3024	  47100  3361	  48642  3514	  49048  3625	  49149  3635	  47194  3369	  47202  3365
192 	  72008  3468	  72153  3469	  77998  3839	  80645  3967	  81853  4170	  82024  4176	  78161  3845	  78169  3846
256 	  98511  5240	  98681  5247	 106577  5859	 109652  6084	 112069  6392	 112262  6405	 106771  5874	 106777  5871
384 	 162538  5667	 162847  5668	 176530  6283	 181841  6415	 186522  6906	 186860  6910	 176865  6291	 176875  6287
512 	 219545  9085	 219901  9102	 238117 10146	 244138 10518	 252040 11103	 252422 11122	 238499 10172	 238505 10168
768 	 362933 10089	 363582 10095	 394837 11401	 405451 11597	 419132 12756	 419817 12764	 395511 11408	 395521 11404
1024	 487651 16365	 488384 16402	 529846 18328	 541755 18976	 563351 20094	 564109 20130	 530609 18375	 530616 18368
