# reps=1000, dist name=uniform, dist param=0, TYPE=UINT64, BLOCK_SIZE=16512, SEQREAD_CACHE_SIZE=1024, NR_TASKLETS=1, CALL_OVERHEAD=128
# QUICK_THRESHOLD=18, PIVOT=MEDIAN, PARTITION_PRIO=LEFT, RECURSIVE=true, MERGE_THRESHOLD=32
n	µ_Normal σ_Normal	µ_TrivialBC σ_TrivialBC	µ_NoTrivial σ_NoTrivial	µ_OneInsertion σ_OneInsertion	µ_ThreshBC σ_ThreshBC	µ_ThreshTrivBC σ_ThreshTrivBC	µ_ThreshThenTriv σ_ThreshThenTriv	µ_TrivInThresh σ_TrivInThresh
16  	   5843   737	   5833   738	   5877   739	   5976   738	   5323   504	   5344   503	   5876   738	   5887   737
24  	   9319   926	   9320   926	   9734   946	  10033   971	   9448   913	   9473   915	   9746   948	   9757   947
32  	  13407  1005	  13417  1003	  14091  1005	  14494  1016	  13844  1008	  13874  1011	  14112  1006	  14121  1006
48  	  22154  1388	  22174  1385	  23522  1427	  24163  1454	  23446  1491	  23491  1498	  23556  1429	  23567  1428
64  	  31459  1700	  31494  1697	  33613  1776	  34495  1801	  33812  1940	  33874  1949	  33664  1778	  33673  1776
96  	  51427  2160	  51490  2155	  55271  2256	  56604  2282	  56042  2453	  56135  2461	  55350  2254	  55358  2254
128 	  72636  2841	  72729  2840	  78368  3025	  80173  3062	  79895  3334	  80010  3341	  78479  3029	  78488  3026
192 	 117094  3753	 117245  3750	 127017  4087	 129764  4121	 130340  4611	 130518  4625	 127193  4088	 127198  4087
256 	 164216  5211	 164425  5211	 178662  5571	 182344  5597	 184069  6150	 184306  6159	 178895  5570	 178899  5572
384 	 263007  7236	 263320  7237	 287318  7789	 292868  7820	 297504  8667	 297864  8678	 287669  7792	 287670  7795
512 	 366673  9229	 367109  9231	 401533 10097	 408955 10134	 417053 11361	 417535 11366	 402003 10099	 402002 10095
768 	 585074 14833	 585741 14830	 642774 16097	 653965 16119	 670375 18028	 671094 18039	 643487 16095	 643484 16092
1024	 812421 19176	 813306 19174	 894308 21149	 909233 21191	 935015 23992	 935984 24000	 895273 21161	 895252 21156
