# reps=1000, dist name=normal, dist param=0, TYPE=UINT32, BLOCK_SIZE=16512, SEQREAD_CACHE_SIZE=1024, NR_TASKLETS=1, CALL_OVERHEAD=128
# QUICK_THRESHOLD=18, PIVOT=MEDIAN, PARTITION_PRIO=RIGHT, RECURSIVE=true, MERGE_THRESHOLD=32
n	µ_Normal σ_Normal	µ_TrivialBC σ_TrivialBC	µ_NoTrivial σ_NoTrivial	µ_OneInsertion σ_OneInsertion	µ_ThreshBC σ_ThreshBC	µ_ThreshTrivBC σ_ThreshTrivBC	µ_ThreshThenTriv σ_ThreshThenTriv	µ_TrivInThresh σ_TrivInThresh
16  	   3867   498	   3858   499	   3868   499	   3967   499	   4077   324	   4099   324	   3868   499	   3880   499
24  	   6445   574	   6447   574	   6716   586	   6957   604	   7101   608	   7125   609	   6729   588	   6739   587
32  	   9320   723	   9327   721	   9780   727	  10099   745	  10520   762	  10551   764	   9800   728	   9811   727
48  	  15599   917	  15621   918	  16542   950	  17036   979	  18181  1027	  18226  1030	  16578   952	  16588   952
64  	  22260  1070	  22296  1069	  23743  1101	  24402  1126	  26390  1177	  26450  1179	  23791  1103	  23804  1102
96  	  36470  1512	  36536  1513	  39200  1590	  40204  1624	  44173  1738	  44261  1742	  39281  1592	  39290  1591
128 	  51559  1898	  51655  1899	  55659  2004	  57004  2031	  63176  2178	  63292  2183	  55768  2004	  55778  2004
192 	  83474  2721	  83626  2723	  90621  2852	  92643  2888	 103823  3113	 103998  3116	  90786  2854	  90795  2852
256 	 117330  3569	 117541  3565	 127852  3745	 130564  3773	 147314  4092	 147549  4096	 128077  3749	 128087  3748
384 	 188271  4970	 188597  4969	 205956  5209	 210031  5241	 238839  5720	 239189  5726	 206302  5212	 206306  5211
512 	 263458  6963	 263902  6964	 289063  7362	 294522  7388	 336628  8055	 337101  8055	 289533  7359	 289536  7358
768 	 419703  9831	 420378  9832	 462192 10564	 470393 10607	 541222 11797	 541925 11806	 462905 10569	 462902 10567
1024	 583885 13968	 584794 13979	 644476 15224	 655381 15268	 757077 17109	 758013 17112	 645420 15221	 645420 15226
