# reps=1000, dist name=uniform, dist param=0, TYPE=UINT64, BLOCK_SIZE=16512, SEQREAD_CACHE_SIZE=1024, NR_TASKLETS=1, CALL_OVERHEAD=128
# QUICK_THRESHOLD=18, PIVOT=MEDIAN, PARTITION_PRIO=RIGHT, RECURSIVE=true, MERGE_THRESHOLD=32
n	µ_Normal σ_Normal	µ_TrivialBC σ_TrivialBC	µ_NoTrivial σ_NoTrivial	µ_OneInsertion σ_OneInsertion	µ_ThreshBC σ_ThreshBC	µ_ThreshTrivBC σ_ThreshTrivBC	µ_ThreshThenTriv σ_ThreshThenTriv	µ_TrivInThresh σ_TrivInThresh
16  	   5220   617	   5210   618	   5221   617	   5976   737	   5043   454	   5064   453	   5221   617	   5232   618
24  	   8346   775	   8347   773	   8614   793	   9789   959	   8857   812	   8882   813	   8789   819	   8638   794
32  	  11947   833	  11953   831	  12402   838	  14055  1016	  12953   865	  12984   868	  12706   867	  12432   839
48  	  19628  1150	  19648  1148	  20566  1190	  23239  1435	  21921  1249	  21965  1252	  21212  1262	  20610  1191
64  	  27773  1404	  27807  1400	  29272  1477	  33019  1775	  31571  1584	  31633  1588	  30321  1592	  29331  1476
96  	  45175  1768	  45236  1767	  47895  1875	  53891  2251	  52277  2029	  52368  2032	  49806  2053	  47982  1874
128 	  63604  2313	  63697  2313	  67697  2510	  76027  2990	  74446  2765	  74566  2773	  70582  2804	  67814  2512
192 	 102173  3047	 102320  3042	 109330  3398	 122575  4125	 121418  3832	 121597  3837	 114387  3903	 109508  3398
256 	 142938  4193	 143146  4187	 153418  4607	 171761  5466	 171329  5105	 171561  5108	 160824  5249	 153655  4607
384 	 228229  5806	 228546  5808	 245989  6435	 274932  7607	 276692  7210	 277049  7216	 258564  7382	 246347  6438
512 	 317579  7399	 318005  7394	 343133  8361	 383104 10007	 387687  9510	 388162  9516	 361221  9767	 343609  8365
768 	 505373 11825	 506021 11819	 547938 13269	 610987 15625	 622521 14875	 623239 14883	 578157 15361	 548650 13266
1024	 700564 15271	 701463 15274	 761201 17507	 848007 20911	 867804 20039	 868755 20049	 804257 20660	 762149 17508
