# reps=1000, dist name=Zipf, dist param=0, TYPE=UINT64, BLOCK_SIZE=16512, SEQREAD_CACHE_SIZE=1024, NR_TASKLETS=1, CALL_OVERHEAD=128
# QUICK_THRESHOLD=18, PIVOT=MEDIAN, PARTITION_PRIO=RIGHT, RECURSIVE=true, MERGE_THRESHOLD=32
n	µ_Normal σ_Normal	µ_TrivialBC σ_TrivialBC	µ_NoTrivial σ_NoTrivial	µ_OneInsertion σ_OneInsertion	µ_ThreshBC σ_ThreshBC	µ_ThreshTrivBC σ_ThreshTrivBC	µ_ThreshThenTriv σ_ThreshThenTriv	µ_TrivInThresh σ_TrivInThresh
16  	   5162   622	   5151   622	   5163   622	   5909   743	   4968   461	   4990   461	   5162   622	   5174   622
24  	   8092   749	   8093   750	   8360   764	   9489   922	   8608   779	   8631   781	   8533   785	   8384   764
32  	  11545   891	  11552   891	  12001   898	  13578  1074	  12565   926	  12596   928	  12303   923	  12031   899
48  	  18739  1131	  18760  1130	  19670  1161	  22174  1400	  21033  1216	  21079  1220	  20302  1223	  19714  1162
64  	  26401  1335	  26437  1334	  27871  1375	  31336  1646	  30182  1444	  30242  1447	  28876  1451	  27930  1373
96  	  42280  1798	  42345  1799	  45000  1908	  50414  2308	  49503  2064	  49590  2068	  46872  2098	  45088  1908
128 	  59019  2106	  59114  2104	  63132  2222	  70575  2661	  70136  2399	  70254  2402	  65958  2442	  63250  2221
192 	  93528  2879	  93679  2879	 100676  3112	 112165  3719	 113226  3419	 113402  3424	 105566  3499	 100848  3112
256 	 129566  3647	 129777  3647	 140063  3981	 155678  4753	 158856  4402	 159090  4409	 147208  4540	 140291  3985
384 	 204008  5246	 204331  5248	 221878  5800	 245859  6918	 254570  6528	 254913  6529	 233951  6682	 222225  5803
512 	 280857  6674	 281292  6675	 306784  7469	 339297  8927	 354714  8480	 355171  8487	 324262  8686	 307241  7471
768 	 439894  9827	 440556  9828	 483141 10940	 532724 12870	 564533 12369	 565210 12369	 512028 12727	 483823 10940
1024	 602505 13138	 603376 13142	 664089 15029	 730599 17973	 781567 17315	 782454 17339	 704883 17811	 664995 15040
