# reps=1000, dist name=almost, dist param=0, TYPE=UINT32, BLOCK_SIZE=16512, SEQREAD_CACHE_SIZE=1024, NR_TASKLETS=1, CALL_OVERHEAD=128
# QUICK_THRESHOLD=18, PIVOT=MEDIAN, PARTITION_PRIO=SHORTER, RECURSIVE=true, MERGE_THRESHOLD=32
n	µ_Normal σ_Normal	µ_TrivialBC σ_TrivialBC	µ_NoTrivial σ_NoTrivial	µ_OneInsertion σ_OneInsertion	µ_ThreshBC σ_ThreshBC	µ_ThreshTrivBC σ_ThreshTrivBC	µ_ThreshThenTriv σ_ThreshThenTriv	µ_TrivInThresh σ_TrivInThresh
16  	   2965   560	   2987   561	   2954   561	   3053   561	   3399   424	   3419   421	   2955   560	   2965   560
24  	   5045   717	   4963   682	   5098   731	   5316   762	   4954   713	   4977   715	   5111   734	   5121   733
32  	   7009   925	   6866   887	   7062   955	   7306   998	   6953   947	   6978   952	   7078   959	   7088   957
48  	  11805  1075	  11412  1013	  11930  1108	  12365  1152	  11903  1123	  11948  1127	  11966  1111	  11975  1110
64  	  16394  1485	  15769  1407	  16534  1551	  17034  1621	  16691  1585	  16742  1594	  16575  1558	  16585  1555
96  	  27120  1721	  25848  1625	  27393  1822	  28243  1888	  27903  1920	  27988  1926	  27471  1827	  27480  1825
128 	  37045  2603	  35112  2440	  37341  2743	  38337  2852	  38381  2890	  38481  2900	  37434  2751	  37443  2751
192 	  61373  2923	  57827  2727	  61942  3109	  63614  3207	  64058  3378	  64226  3387	  62106  3116	  62115  3116
256 	  83141  4486	  77956  4158	  83768  4742	  85704  4898	  87297  5138	  87494  5147	  83960  4758	  83965  4754
384 	 137728  4697	 128615  4314	 138919  5017	 142227  5127	 145284  5634	 145621  5640	 139255  5027	 139260  5022
512 	 184246  7778	 171233  7137	 185520  8173	 189276  8414	 195412  8960	 195794  8981	 185904  8200	 185907  8193
768 	 305742  8336	 283484  7788	 308207  9262	 314787  9422	 325112 10667	 325791 10678	 308892  9276	 308892  9270
1024	 407190 14023	 375925 12929	 409872 14820	 417244 15236	 435195 16341	 435957 16380	 410634 14859	 410642 14863
