# reps=1000, dist name=reverse, dist param=0, TYPE=UINT32, BLOCK_SIZE=16512, SEQREAD_CACHE_SIZE=1024, NR_TASKLETS=1, CALL_OVERHEAD=128
# QUICK_THRESHOLD=18, PIVOT=MEDIAN, PARTITION_PRIO=SHORTER, RECURSIVE=true, MERGE_THRESHOLD=32
n	µ_Normal σ_Normal	µ_TrivialBC σ_TrivialBC	µ_NoTrivial σ_NoTrivial	µ_OneInsertion σ_OneInsertion	µ_ThreshBC σ_ThreshBC	µ_ThreshTrivBC σ_ThreshTrivBC	µ_ThreshThenTriv σ_ThreshThenTriv	µ_TrivInThresh σ_TrivInThresh
16  	   6992    12	   7014    10	   6982    10	   7085     9	   3673    10	   3697     6	   6982    10	   6992    13
24  	   5284     8	   5219     8	   5363     8	   5549    12	   5354     8	   5373    12	   5373    12	   5386     9
32  	   6870    11	   6765    10	   6950    10	   7136    13	   7024    12	   7047    12	   6961    13	   6972    10
48  	  18108    16	  15831    16	  17549    16	  18409    17	  16678    17	  16722    17	  17628    20	  17508    17
64  	  34502    24	  28749    21	  32492    22	  34234    21	  30123    24	  30167    21	  32659    21	  32358    22
96  	  75750    32	  60924    32	  68726    31	  72230    32	  63356    32	  63402    31	  69065    32	  68413    30
128 	 128274    42	 101564    40	 113421    43	 118688    41	 105056    40	 105102    41	 113940    41	 112935    42
192 	 267166    57	 208236    55	 228197    59	 236994    59	 213840    57	 213884    58	 229069    58	 227362    57
256 	 451171    78	 348761    75	 376832    76	 389154    79	 356485    72	 356524    73	 378054    78	 375641    75
384 	 954543   115	 731369   107	 775651   110	 795030   116	 743312   110	 743359   105	 777584   109	 773765   111
512 	1638367   152	1249355   137	1309864   136	1336290   138	1265530   133	1265575   132	1312494   140	1307258   134
768 	3547355   218	2691592   206	2784519   200	2825056   203	2716222   197	2716275   197	2788577   206	2780525   201
1024	6178280   279	4675460   258	4800830   263	4855468   272	4708544   259	4708592   273	4806279   262	4795400   264
