# reps=1000, dist name=uniform, dist param=0, TYPE=UINT64, BLOCK_SIZE=16512, SEQREAD_CACHE_SIZE=1024, NR_TASKLETS=1, CALL_OVERHEAD=128
# QUICK_THRESHOLD=18, PIVOT=MEDIAN, PARTITION_PRIO=SHORTER, RECURSIVE=true, MERGE_THRESHOLD=32
n	µ_Normal σ_Normal	µ_TrivialBC σ_TrivialBC	µ_NoTrivial σ_NoTrivial	µ_OneInsertion σ_OneInsertion	µ_ThreshBC σ_ThreshBC	µ_ThreshTrivBC σ_ThreshTrivBC	µ_ThreshThenTriv σ_ThreshThenTriv	µ_TrivInThresh σ_TrivInThresh
16  	   5920   738	   5943   738	   5910   737	   6008   738	   5162   505	   5183   503	   5910   738	   5920   738
24  	   9774   944	   9829   948	   9969   965	  10239   991	   9120   876	   9143   877	   9996   968	   9994   966
32  	  14095   991	  14168  1006	  14407  1009	  14773  1027	  13233   953	  13263   955	  14447  1012	  14437  1010
48  	  23393  1392	  23515  1420	  24042  1438	  24624  1471	  22159  1353	  22204  1357	  24114  1442	  24087  1439
64  	  33299  1703	  33481  1761	  34345  1778	  35143  1813	  31754  1736	  31815  1742	  34446  1783	  34404  1779
96  	  54493  2151	  54757  2224	  56397  2262	  57599  2298	  52278  2183	  52367  2188	  56557  2266	  56485  2262
128 	  77040  2837	  77347  2969	  79915  3039	  81537  3084	  74172  2915	  74290  2920	  80135  3041	  80032  3040
192 	 124357  3729	 124884  4086	 129394  4087	 131861  4137	 120386  4014	 120564  4023	 129735  4093	 129569  4088
256 	 174481  5138	 175148  5404	 181868  5568	 185163  5606	 169443  5289	 169683  5300	 182329  5571	 182105  5570
384 	 279625  7142	 280620  7545	 292155  7793	 297137  7841	 272620  7436	 272978  7445	 292862  7800	 292513  7793
512 	 389997  9109	 391281  9912	 408026 10109	 414672 10162	 381250  9753	 381718  9771	 408972 10115	 408497 10110
768 	 622459 14562	 624443 15475	 652565 16074	 662586 16123	 610545 15322	 611259 15330	 653997 16087	 653278 16085
1024	 864468 18849	 867044 20728	 907399 21157	 920747 21209	 849655 20451	 850606 20464	 909308 21164	 908335 21153
