# reps=1000, dist name=sorted, dist param=0, TYPE=UINT32, BLOCK_SIZE=16512, SEQREAD_CACHE_SIZE=1024, NR_TASKLETS=1, CALL_OVERHEAD=128
# QUICK_THRESHOLD=18, PIVOT=MEDIAN_OF_RANDOM, PARTITION_PRIO=LEFT, RECURSIVE=true, MERGE_THRESHOLD=32
n	µ_Normal σ_Normal	µ_TrivialBC σ_TrivialBC	µ_NoTrivial σ_NoTrivial	µ_OneInsertion σ_OneInsertion	µ_ThreshBC σ_ThreshBC	µ_ThreshTrivBC σ_ThreshTrivBC	µ_ThreshThenTriv σ_ThreshThenTriv	µ_TrivInThresh σ_TrivInThresh
16  	   1299     6	   1283     7	   1331     6	   1428     7	   2779    81	   2800    79	   1312     2	   1343     2
24  	   4074   750	   4073   749	   4362   835	   4612   888	   4288   847	   4312   850	   4126   764	   4386   838
32  	   5999  1119	   6005  1123	   6453  1251	   6782  1327	   6388  1269	   6419  1276	   6063  1136	   6483  1256
48  	  10788  1423	  10809  1426	  11658  1597	  12162  1678	  11619  1622	  11664  1631	  10885  1442	  11704  1603
64  	  15737  1663	  15772  1667	  17075  1884	  17757  1975	  17057  1915	  17118  1924	  15867  1686	  17135  1889
96  	  26529  2151	  26590  2152	  28889  2465	  29917  2563	  28923  2503	  29013  2515	  26724  2178	  28977  2468
128 	  37943  2636	  38029  2638	  41441  3072	  42823  3179	  41520  3117	  41641  3129	  38205  2666	  41559  3078
192 	  62401  3648	  62544  3651	  68367  4283	  70443  4407	  68547  4336	  68730  4353	  62796  3685	  68543  4290
256 	  88232  4577	  88427  4578	  96863  5402	  99650  5536	  97125  5438	  97362  5452	  88757  4613	  97097  5410
384 	 143045  6327	 143354  6329	 157432  7507	 161616  7637	 157885  7568	 158246  7586	 143833  6365	 157779  7516
512 	 200726  8334	 201146  8337	 221321 10036	 226902 10162	 221975 10095	 222453 10112	 201778  8372	 221791 10040
768 	 321830 11879	 322462 11882	 355789 14599	 364187 14727	 356834 14658	 357556 14676	 323410 11917	 356496 14606
1024	 448513 14647	 449366 14651	 496302 17902	 507528 18047	 497735 17943	 498697 17958	 450622 14691	 497241 17908
