# reps=1000, dist name=almost, dist param=0, TYPE=UINT64, BLOCK_SIZE=16512, SEQREAD_CACHE_SIZE=1024, NR_TASKLETS=1, CALL_OVERHEAD=128
# QUICK_THRESHOLD=18, PIVOT=MEDIAN_OF_RANDOM, PARTITION_PRIO=LEFT, RECURSIVE=true, MERGE_THRESHOLD=32
n	µ_Normal σ_Normal	µ_TrivialBC σ_TrivialBC	µ_NoTrivial σ_NoTrivial	µ_OneInsertion σ_OneInsertion	µ_ThreshBC σ_ThreshBC	µ_ThreshTrivBC σ_ThreshTrivBC	µ_ThreshThenTriv σ_ThreshThenTriv	µ_TrivInThresh σ_TrivInThresh
16  	   3895   820	   3884   819	   3928   820	   4028   820	   4587   545	   4608   545	   3906   819	   3940   819
24  	   6746  1047	   6745  1043	   7024  1085	   7325  1135	   6919  1087	   6944  1089	   6829  1059	   7047  1088
32  	   9756  1372	   9763  1372	  10206  1464	  10618  1549	  10133  1488	  10163  1494	   9873  1393	  10235  1466
48  	  16162  1804	  16181  1804	  17014  1928	  17663  2024	  17035  1951	  17081  1959	  16346  1825	  17059  1933
64  	  23310  2131	  23346  2133	  24633  2291	  25527  2393	  24740  2314	  24802  2321	  23576  2160	  24694  2296
96  	  37570  2851	  37632  2850	  39874  3075	  41227  3199	  40182  3119	  40274  3131	  37959  2882	  39962  3081
128 	  53155  3512	  53243  3512	  56574  3820	  58392  3952	  57041  3854	  57161  3866	  53683  3545	  56690  3827
192 	  85753  4831	  85892  4833	  91555  5298	  94315  5450	  92406  5353	  92584  5366	  86526  4871	  91729  5305
256 	 121340  5773	 121537  5774	 129816  6417	 133542  6582	 131047  6476	 131289  6486	 122394  5817	 130049  6425
384 	 195273  8531	 195581  8533	 209380  9445	 215000  9627	 211311  9499	 211671  9511	 196804  8574	 209732  9455
512 	 273110 10975	 273522 10974	 293232 12221	 300737 12399	 295864 12260	 296344 12275	 275121 11019	 293701 12233
768 	 436825 16368	 437457 16376	 469983 18279	 481275 18476	 473973 18305	 474694 18316	 439780 16402	 470688 18290
1024	 608690 19870	 609542 19868	 655391 22449	 670453 22655	 660742 22544	 661695 22559	 612595 19913	 656325 22453
