# reps=1000, dist name=normal, dist param=0, TYPE=UINT64, BLOCK_SIZE=16512, SEQREAD_CACHE_SIZE=1024, NR_TASKLETS=1, CALL_OVERHEAD=128
# QUICK_THRESHOLD=18, PIVOT=MEDIAN_OF_RANDOM, PARTITION_PRIO=LEFT, RECURSIVE=true, MERGE_THRESHOLD=32
n	µ_Normal σ_Normal	µ_TrivialBC σ_TrivialBC	µ_NoTrivial σ_NoTrivial	µ_OneInsertion σ_OneInsertion	µ_ThreshBC σ_ThreshBC	µ_ThreshTrivBC σ_ThreshTrivBC	µ_ThreshThenTriv σ_ThreshThenTriv	µ_TrivInThresh σ_TrivInThresh
16  	   5303   740	   5293   740	   5337   741	   5436   740	   5283   494	   5304   493	   5315   740	   5348   740
24  	   9229   967	   9229   965	   9553  1002	   9850  1036	   9356   993	   9379   994	   9359   974	   9576  1002
32  	  13320  1078	  13327  1078	  13849  1117	  14254  1156	  13675  1124	  13706  1129	  13524  1085	  13880  1118
48  	  22496  1410	  22517  1409	  23530  1486	  24168  1534	  23483  1540	  23527  1546	  22878  1420	  23575  1488
64  	  32122  1742	  32157  1743	  33743  1850	  34614  1905	  33873  1890	  33933  1897	  32701  1750	  33802  1851
96  	  52653  2321	  52714  2318	  55539  2447	  56873  2507	  56063  2491	  56154  2496	  53664  2325	  55628  2449
128 	  74112  2794	  74206  2793	  78414  2989	  80205  3047	  79442  3035	  79562  3042	  75593  2792	  78533  2992
192 	 120069  3985	 120221  3980	 127553  4325	 130264  4392	 129737  4395	 129918  4400	 122581  3977	 127727  4329
256 	 167944  5027	 168150  5027	 178842  5492	 182497  5562	 182356  5494	 182595  5502	 171570  5013	 179077  5493
384 	 269196  7745	 269517  7743	 287613  8554	 293113  8624	 294093  8431	 294450  8439	 275224  7700	 287962  8558
512 	 374786  9433	 375214  9427	 401279 10327	 408668 10386	 411142 10208	 411610 10219	 383390  9365	 401747 10323
768 	 596580 14846	 597236 14841	 640246 16208	 651304 16288	 657435 15997	 658132 16006	 610659 14743	 640950 16209
1024	 827967 18887	 828850 18879	 890351 20745	 905167 20822	 915589 20562	 916548 20576	 847873 18743	 891282 20749
