# reps=1000, dist name=Zipf, dist param=0, TYPE=UINT64, BLOCK_SIZE=16512, SEQREAD_CACHE_SIZE=1024, NR_TASKLETS=1, CALL_OVERHEAD=128
# QUICK_THRESHOLD=18, PIVOT=MEDIAN_OF_RANDOM, PARTITION_PRIO=LEFT, RECURSIVE=true, MERGE_THRESHOLD=32
n	µ_Normal σ_Normal	µ_TrivialBC σ_TrivialBC	µ_NoTrivial σ_NoTrivial	µ_OneInsertion σ_OneInsertion	µ_ThreshBC σ_ThreshBC	µ_ThreshTrivBC σ_ThreshTrivBC	µ_ThreshThenTriv σ_ThreshThenTriv	µ_TrivInThresh σ_TrivInThresh
16  	   5775   743	   5765   743	   5809   744	   5908   743	   5621   574	   5642   573	   5787   743	   5820   743
24  	   9702  1009	   9699  1005	  10027  1043	  10334  1082	   9766  1035	   9789  1036	   9828  1017	  10051  1043
32  	  13865  1157	  13871  1154	  14411  1208	  14829  1256	  14174  1230	  14206  1235	  14065  1167	  14442  1210
48  	  22879  1524	  22898  1519	  23909  1595	  24554  1647	  23762  1631	  23809  1636	  23251  1537	  23953  1597
64  	  32105  1708	  32139  1706	  33681  1785	  34552  1843	  33665  1829	  33724  1838	  32670  1716	  33742  1788
96  	  52098  2500	  52160  2495	  54994  2661	  56334  2730	  55453  2675	  55544  2682	  53109  2506	  55084  2664
128 	  72252  2853	  72341  2853	  76560  3014	  78345  3080	  77597  3009	  77716  3015	  73747  2852	  76679  3017
192 	 114864  3790	 115012  3789	 122269  4027	 124940  4089	 124786  4027	 124961  4035	 117452  3774	 122443  4032
256 	 159106  4638	 159308  4636	 170050  5022	 173623  5090	 174400  5009	 174633  5013	 162900  4618	 170285  5024
384 	 250825  6711	 251135  6709	 269266  7283	 274618  7355	 277763  7204	 278105  7213	 257264  6659	 269609  7288
512 	 344144  8759	 344570  8764	 370855  9599	 377952  9681	 384305  9531	 384763  9543	 353487  8699	 371309  9603
768 	 538374 13386	 539022 13382	 582923 14916	 593516 14962	 607467 14751	 608146 14764	 554055 13266	 583602 14913
1024	 735457 16197	 736319 16200	 798453 18043	 812416 18162	 835371 17927	 836268 17940	 758011 16072	 799349 18047
