# reps=1000, dist name=almost, dist param=0, TYPE=UINT32, BLOCK_SIZE=16512, SEQREAD_CACHE_SIZE=1024, NR_TASKLETS=1, CALL_OVERHEAD=128
# QUICK_THRESHOLD=18, PIVOT=MEDIAN_OF_RANDOM, PARTITION_PRIO=RIGHT, RECURSIVE=true, MERGE_THRESHOLD=32
n	µ_Normal σ_Normal	µ_TrivialBC σ_TrivialBC	µ_NoTrivial σ_NoTrivial	µ_OneInsertion σ_OneInsertion	µ_ThreshBC σ_ThreshBC	µ_ThreshTrivBC σ_ThreshTrivBC	µ_ThreshThenTriv σ_ThreshThenTriv	µ_TrivInThresh σ_TrivInThresh
16  	   2920   561	   2910   561	   2921   560	   3021   560	   3905   400	   3925   399	   2921   561	   2932   561
24  	   5353   837	   5354   838	   5596   877	   5844   917	   5836   934	   5860   936	   5598   878	   5620   879
32  	   7688  1111	   7695  1113	   8097  1201	   8426  1267	   8557  1322	   8588  1326	   8101  1202	   8127  1204
48  	  12713  1466	  12734  1468	  13505  1576	  14011  1650	  14453  1723	  14502  1727	  13519  1580	  13551  1580
64  	  18298  1716	  18330  1716	  19554  1848	  20238  1931	  21097  2034	  21158  2037	  19574  1851	  19612  1853
96  	  29253  2218	  29314  2220	  31454  2407	  32481  2506	  34120  2670	  34211  2677	  31490  2412	  31543  2411
128 	  41362  2718	  41449  2719	  44656  2915	  46036  3023	  48641  3213	  48757  3216	  44705  2918	  44774  2919
192 	  66406  3669	  66545  3668	  72009  3952	  74089  4073	  78648  4385	  78827  4395	  72091  3955	  72185  3958
256 	  93388  4609	  93583  4608	 101622  5054	 104417  5190	 111294  5700	 111536  5705	 101733  5063	 101857  5064
384 	 148877  6404	 149184  6402	 162527  6991	 166713  7154	 178265  7872	 178623  7887	 162702  7002	 162881  7002
512 	 207802  8063	 208215  8065	 227326  8815	 232912  8960	 249574 10005	 250052 10010	 227557  8814	 227798  8823
768 	 330527 11549	 331152 11545	 362800 12663	 371182 12819	 399027 14470	 399734 14480	 363155 12667	 363505 12672
1024	 459722 15099	 460571 15116	 505375 16702	 516587 16876	 556209 19208	 557155 19223	 505853 16704	 506318 16714
