# reps=1000, dist name=normal, dist param=0, TYPE=UINT32, BLOCK_SIZE=16512, SEQREAD_CACHE_SIZE=1024, NR_TASKLETS=1, CALL_OVERHEAD=128
# QUICK_THRESHOLD=18, PIVOT=MEDIAN_OF_RANDOM, PARTITION_PRIO=RIGHT, RECURSIVE=true, MERGE_THRESHOLD=32
n	µ_Normal σ_Normal	µ_TrivialBC σ_TrivialBC	µ_NoTrivial σ_NoTrivial	µ_OneInsertion σ_OneInsertion	µ_ThreshBC σ_ThreshBC	µ_ThreshTrivBC σ_ThreshTrivBC	µ_ThreshThenTriv σ_ThreshThenTriv	µ_TrivInThresh σ_TrivInThresh
16  	   3868   499	   3857   499	   3868   499	   3967   499	   4521   348	   4543   347	   3868   499	   3879   499
24  	   7099   730	   7097   728	   7388   771	   7632   804	   7814   829	   7837   832	   7389   772	   7411   771
32  	  10221   819	  10228   820	  10709   876	  11033   923	  11515   989	  11545   992	  10715   878	  10739   877
48  	  17347  1105	  17367  1107	  18322  1182	  18819  1233	  20044  1305	  20091  1309	  18334  1184	  18366  1184
64  	  24608  1330	  24643  1329	  26144  1424	  26813  1480	  28924  1576	  28983  1580	  26164  1426	  26204  1426
96  	  40372  1728	  40434  1727	  43170  1850	  44177  1908	  48320  2043	  48410  2048	  43204  1850	  43256  1852
128 	  56916  2214	  57007  2216	  61096  2355	  62455  2429	  68859  2613	  68979  2618	  61144  2359	  61213  2359
192 	  92072  2855	  92221  2854	  99385  3062	 101438  3131	 113004  3423	 113185  3432	  99466  3065	  99563  3067
256 	 128632  3935	 128837  3935	 139352  4277	 142093  4364	 159342  4800	 159583  4807	 139460  4281	 139587  4281
384 	 205722  5407	 206039  5403	 223784  5792	 227903  5867	 257555  6429	 257915  6433	 223958  5791	 224139  5795
512 	 286209  7032	 286638  7038	 312151  7537	 317632  7619	 360727  8406	 361197  8410	 312379  7544	 312619  7548
768 	 455455 10216	 456106 10215	 498507 11018	 506747 11077	 579093 12290	 579807 12301	 498857 11013	 499210 11018
1024	 630430 13165	 631302 13167	 691615 14245	 702655 14322	 806267 15960	 807214 15973	 692081 14248	 692558 14251
