# reps=1000, dist name=Zipf, dist param=0, TYPE=UINT32, BLOCK_SIZE=16512, SEQREAD_CACHE_SIZE=1024, NR_TASKLETS=1, CALL_OVERHEAD=128
# QUICK_THRESHOLD=18, PIVOT=MEDIAN_OF_RANDOM, PARTITION_PRIO=RIGHT, RECURSIVE=true, MERGE_THRESHOLD=32
n	µ_Normal σ_Normal	µ_TrivialBC σ_TrivialBC	µ_NoTrivial σ_NoTrivial	µ_OneInsertion σ_OneInsertion	µ_ThreshBC σ_ThreshBC	µ_ThreshTrivBC σ_ThreshTrivBC	µ_ThreshThenTriv σ_ThreshThenTriv	µ_TrivInThresh σ_TrivInThresh
16  	   4183   500	   4173   501	   4184   501	   4284   501	   4743   389	   4763   388	   4185   501	   4196   500
24  	   7424   770	   7425   770	   7716   810	   7967   849	   8128   871	   8152   872	   7717   812	   7739   811
32  	  10589   874	  10595   873	  11089   942	  11425   995	  11882  1059	  11915  1062	  11096   945	  11120   945
48  	  17562  1161	  17583  1161	  18529  1229	  19027  1279	  20212  1348	  20257  1350	  18540  1230	  18574  1231
64  	  24651  1360	  24685  1363	  26162  1428	  26829  1487	  28891  1568	  28950  1572	  26180  1430	  26222  1432
96  	  40059  1856	  40122  1857	  42855  1974	  43872  2037	  48001  2178	  48092  2182	  42891  1975	  42944  1976
128 	  55704  2066	  55796  2067	  59895  2178	  61249  2243	  67737  2409	  67855  2416	  59944  2181	  60012  2184
192 	  88603  2956	  88746  2957	  95893  3112	  97916  3190	 109726  3424	 109904  3427	  95971  3114	  96065  3117
256 	 122492  3611	 122697  3611	 133181  3774	 135848  3853	 153637  4173	 153873  4176	 133287  3778	 133408  3778
384 	 193199  4872	 193516  4875	 211328  5181	 215320  5258	 246522  5766	 246865  5775	 211488  5186	 211676  5188
512 	 265356  6709	 265779  6717	 291618  7252	 296898  7345	 342878  8214	 343339  8220	 291836  7250	 292075  7259
768 	 416284  9750	 416933  9757	 459932 10428	 467811 10499	 546275 11655	 546950 11667	 460264 10428	 460617 10436
1024	 569038 11608	 569904 11621	 631318 12393	 641704 12480	 755509 13946	 756411 13962	 631752 12402	 632220 12401
