# reps=1000, dist name=reverse, dist param=0, TYPE=UINT64, BLOCK_SIZE=16512, SEQREAD_CACHE_SIZE=1024, NR_TASKLETS=1, CALL_OVERHEAD=128
# QUICK_THRESHOLD=18, PIVOT=MEDIAN_OF_RANDOM, PARTITION_PRIO=RIGHT, RECURSIVE=true, MERGE_THRESHOLD=32
n	µ_Normal σ_Normal	µ_TrivialBC σ_TrivialBC	µ_NoTrivial σ_NoTrivial	µ_OneInsertion σ_OneInsertion	µ_ThreshBC σ_ThreshBC	µ_ThreshTrivBC σ_ThreshTrivBC	µ_ThreshThenTriv σ_ThreshThenTriv	µ_TrivInThresh σ_TrivInThresh
16  	   8600    11	   8591    11	   8601    12	  10020    13	   5431   935	   5452   931	   8600    11	   8612    13
24  	   7422  1617	   7420  1614	   7742  1647	   8458  1912	   8331  1676	   8356  1680	   7914  1690	   7766  1649
32  	  10164  2111	  10169  2112	  10676  2172	  11552  2488	  11713  2278	  11745  2285	  10978  2249	  10706  2178
48  	  16754  1726	  16772  1725	  17706  1816	  18966  2043	  19741  2021	  19786  2028	  18330  1930	  17750  1818
64  	  23606  2210	  23640  2212	  25074  2351	  26694  2618	  28265  2673	  28325  2680	  26090  2514	  25135  2356
96  	  38007  2731	  38069  2734	  40572  2955	  42897  3247	  46198  3469	  46287  3479	  42443  3207	  40662  2960
128 	  53232  3149	  53318  3146	  57030  3491	  60066  3798	  65368  4294	  65487  4303	  59894  3875	  57149  3495
192 	  85218  3941	  85357  3940	  91630  4433	  96079  4735	 105681  5627	 105858  5638	  96629  4986	  91806  4440
256 	 119065  5025	 119264  5027	 128318  5747	 134175  6082	 148546  7458	 148785  7467	 135669  6550	 128552  5756
384 	 190180  6847	 190483  6849	 205566  7978	 214275  8396	 239008 10698	 239362 10713	 218080  9267	 205921  7991
512 	 264414  8678	 264825  8674	 286387 10198	 297945 10701	 333985 13784	 334460 13792	 304520 11915	 286858 10205
768 	 419552 12345	 420183 12348	 455523 14799	 472749 15439	 533045 20472	 533751 20484	 485710 17532	 456223 14808
1024	 581537 15884	 582387 15893	 632045 18972	 654951 19766	 740577 26341	 741535 26354	 674825 22493	 632983 18985
