# reps=1000, dist name=sorted, dist param=0, TYPE=UINT64, BLOCK_SIZE=16512, SEQREAD_CACHE_SIZE=1024, NR_TASKLETS=1, CALL_OVERHEAD=128
# QUICK_THRESHOLD=18, PIVOT=MEDIAN_OF_RANDOM, PARTITION_PRIO=RIGHT, RECURSIVE=true, MERGE_THRESHOLD=32
n	µ_Normal σ_Normal	µ_TrivialBC σ_TrivialBC	µ_NoTrivial σ_NoTrivial	µ_OneInsertion σ_OneInsertion	µ_ThreshBC σ_ThreshBC	µ_ThreshTrivBC σ_ThreshTrivBC	µ_ThreshThenTriv σ_ThreshThenTriv	µ_TrivInThresh σ_TrivInThresh
16  	   1663     2	   1651     6	   1664     2	   1760     3	   3428    85	   3448    83	   1664     2	   1667     7
24  	   4850   825	   4850   826	   5077   891	   5381   965	   5306  1028	   5330  1031	   5240   947	   5100   894
32  	   7114  1240	   7120  1243	   7488  1343	   7897  1448	   7983  1567	   8013  1574	   7783  1434	   7518  1348
48  	  12672  1587	  12693  1588	  13414  1720	  14063  1835	  14595  2018	  14642  2026	  14049  1848	  13460  1725
64  	  18335  1789	  18366  1788	  19498  1952	  20378  2076	  21458  2336	  21518  2343	  20516  2120	  19556  1958
96  	  30938  2398	  30996  2401	  33031  2647	  34390  2792	  36758  3237	  36849  3246	  34920  2908	  33121  2653
128 	  44051  2875	  44139  2879	  47185  3183	  49011  3344	  52879  3944	  52996  3958	  50047  3524	  47304  3192
192 	  72565  3844	  72707  3844	  78019  4304	  80791  4459	  88127  5461	  88308  5471	  83071  4833	  78194  4311
256 	 102497  4829	 102694  4831	 110467  5426	 114201  5593	 125393  6983	 125630  6996	 117887  6133	 110704  5432
384 	 165573  6786	 165877  6785	 178870  7653	 184478  7845	 204020  9967	 204380  9984	 191375  8717	 179224  7659
512 	 232027  8350	 232442  8353	 251038  9552	 258541  9758	 287180 12790	 287653 12802	 268988 11050	 251511  9566
768 	 371909 12879	 372539 12884	 403582 14709	 414844 14916	 464120 19621	 464828 19639	 433647 16998	 404280 14720
1024	 519055 17265	 519907 17267	 564108 19928	 579218 20161	 650521 26752	 651477 26773	 607021 23129	 565060 19929
