# reps=1000, dist name=uniform, dist param=0, TYPE=UINT64, BLOCK_SIZE=16512, SEQREAD_CACHE_SIZE=1024, NR_TASKLETS=1, CALL_OVERHEAD=128
# QUICK_THRESHOLD=18, PIVOT=MEDIAN_OF_RANDOM, PARTITION_PRIO=RIGHT, RECURSIVE=true, MERGE_THRESHOLD=32
n	µ_Normal σ_Normal	µ_TrivialBC σ_TrivialBC	µ_NoTrivial σ_NoTrivial	µ_OneInsertion σ_OneInsertion	µ_ThreshBC σ_ThreshBC	µ_ThreshTrivBC σ_ThreshTrivBC	µ_ThreshThenTriv σ_ThreshThenTriv	µ_TrivInThresh σ_TrivInThresh
16  	   5220   617	   5210   617	   5221   617	   5976   738	   5641   500	   5661   496	   5221   617	   5233   617
24  	   9015   873	   9014   868	   9309   921	  10319  1035	   9789  1032	   9812  1034	   9479   966	   9333   921
32  	  12897   986	  12902   984	  13383  1044	  14750  1163	  14320  1210	  14351  1214	  13679  1100	  13414  1046
48  	  21377  1287	  21396  1286	  22348  1379	  24409  1512	  24450  1619	  24494  1625	  22980  1478	  22393  1381
64  	  30236  1520	  30270  1519	  31766  1628	  34539  1786	  35216  1935	  35276  1945	  32781  1757	  31827  1629
96  	  49255  2006	  49315  2001	  52048  2190	  56218  2355	  58564  2721	  58653  2728	  53934  2418	  52138  2193
128 	  69096  2511	  69183  2510	  73298  2757	  78878  2930	  83268  3436	  83386  3446	  76154  3064	  73414  2758
192 	 110890  3459	 111031  3453	 118219  3854	 126577  4050	 135862  4928	 136043  4935	 123245  4367	 118395  3854
256 	 154663  4275	 154860  4268	 165351  4707	 176545  4950	 191295  5996	 191535  6004	 172706  5323	 165585  4709
384 	 246610  6675	 246913  6665	 264722  7476	 281532  7713	 309019  9648	 309377  9654	 277265  8558	 265076  7481
512 	 341461  7689	 341875  7687	 367463  8544	 389855  8815	 431398 11141	 431883 11154	 385489  9816	 367938  8549
768 	 541613 12174	 542245 12172	 584812 13804	 618372 14000	 691507 18191	 692207 18198	 614873 16037	 585502 13804
1024	 748014 15469	 748855 15469	 809223 17434	 854129 17715	 960932 23063	 961881 23085	 851801 20276	 810150 17443
