# reps=1000, dist name=almost, dist param=0, TYPE=UINT32, BLOCK_SIZE=16512, SEQREAD_CACHE_SIZE=1024, NR_TASKLETS=1, CALL_OVERHEAD=128
# QUICK_THRESHOLD=18, PIVOT=MEDIAN_OF_RANDOM, PARTITION_PRIO=SHORTER, RECURSIVE=true, MERGE_THRESHOLD=32
n	µ_Normal σ_Normal	µ_TrivialBC σ_TrivialBC	µ_NoTrivial σ_NoTrivial	µ_OneInsertion σ_OneInsertion	µ_ThreshBC σ_ThreshBC	µ_ThreshTrivBC σ_ThreshTrivBC	µ_ThreshThenTriv σ_ThreshThenTriv	µ_TrivInThresh σ_TrivInThresh
16  	   2965   561	   2987   561	   2954   561	   3054   561	   3855   413	   3864   411	   2954   561	   2965   561
24  	   5636   871	   5691   866	   5708   880	   5945   922	   5740   887	   5750   886	   5851   916	   5731   882
32  	   8111  1202	   8185  1202	   8187  1210	   8510  1281	   8368  1271	   8378  1270	   8463  1292	   8217  1213
48  	  13400  1548	  13516  1551	  13507  1556	  14005  1635	  14124  1678	  14135  1678	  14102  1672	  13552  1561
64  	  19344  1810	  19495  1808	  19496  1822	  20176  1909	  20711  2020	  20717  2020	  20480  1973	  19556  1826
96  	  30920  2436	  31159  2435	  31154  2447	  32174  2555	  33631  2792	  33640  2793	  32956  2677	  31244  2451
128 	  43335  2780	  43646  2779	  43653  2788	  45009  2898	  47681  3330	  47686  3333	  46405  3110	  43769  2794
192 	  69534  3868	  70009  3861	  70019  3874	  72078  4013	  77446  4798	  77448  4800	  74860  4398	  70196  3884
256 	  97447  4586	  98086  4582	  98098  4589	 100844  4725	 109348  5923	 109346  5921	 105216  5295	  98331  4596
384 	 155497  6478	 156460  6455	 156480  6491	 160616  6650	 176318  8599	 176315  8602	 168663  7568	 156833  6496
512 	 216437  8430	 217741  8432	 217750  8431	 223278  8612	 246749 11513	 246739 11515	 235283  9985	 218216  8441
768 	 343558 11537	 345507 11539	 345537 11539	 353822 11736	 395121 16225	 395102 16237	 374896 13840	 346243 11549
1024	 476533 15610	 479132 15596	 479157 15608	 490221 15824	 550461 22318	 550430 22333	 520925 18890	 480092 15614
