# reps=1000, dist name=reverse, dist param=0, TYPE=UINT64, BLOCK_SIZE=16512, SEQREAD_CACHE_SIZE=1024, NR_TASKLETS=1, CALL_OVERHEAD=128
# QUICK_THRESHOLD=18, PIVOT=MEDIAN_OF_RANDOM, PARTITION_PRIO=SHORTER, RECURSIVE=true, MERGE_THRESHOLD=32
n	µ_Normal σ_Normal	µ_TrivialBC σ_TrivialBC	µ_NoTrivial σ_NoTrivial	µ_OneInsertion σ_OneInsertion	µ_ThreshBC σ_ThreshBC	µ_ThreshTrivBC σ_ThreshTrivBC	µ_ThreshThenTriv σ_ThreshThenTriv	µ_TrivInThresh σ_TrivInThresh
16  	   9966    11	   9987    13	   9955    13	  10053    15	   5370  1080	   5380  1075	   9956    13	   9967    11
24  	   8630  1919	   8665  1918	   8664  1916	   8959  1965	   8165  1751	   8174  1748	   8830  1959	   8687  1919
32  	  11904  2528	  11948  2541	  11924  2517	  12328  2601	  11326  2340	  11336  2341	  12225  2592	  11954  2522
48  	  19727  2066	  19779  2119	  19744  2053	  20376  2118	  18903  1971	  18913  1972	  20368  2155	  19787  2054
64  	  27939  2701	  27987  2796	  27954  2691	  28838  2793	  26867  2600	  26878  2602	  28971  2845	  28015  2694
96  	  45215  3353	  45286  3479	  45231  3339	  46577  3471	  43730  3256	  43739  3257	  47100  3551	  45324  3344
128 	  63323  3800	  63449  4109	  63343  3781	  65155  3928	  61426  3873	  61432  3876	  66209  4123	  63465  3788
192 	 101918  4881	 102132  5335	 101937  4854	 104674  5030	  99157  5081	  99164  5083	 106943  5346	 102114  4864
256 	 142724  6272	 142949  6988	 142754  6256	 146438  6435	 139053  6702	 139055  6703	 150108  6973	 142988  6261
384 	 228828  8341	 229339  9463	 228849  8323	 234416  8515	 223525  9155	 223517  9153	 241450  9380	 229202  8330
512 	 318300 10988	 318939 12708	 318328 10953	 325755 11176	 311273 12282	 311266 12278	 336441 12457	 318794 10959
768 	 506226 15711	 507023 18454	 506276 15678	 517472 15927	 495624 17985	 495606 17985	 536298 18014	 506981 15689
1024	 702438 18456	 703359 22056	 702490 18415	 717419 18639	 688198 21477	 688166 21484	 745215 21231	 703430 18426
