# reps=1000, dist name=sorted, dist param=0, TYPE=UINT64, BLOCK_SIZE=16512, SEQREAD_CACHE_SIZE=1024, NR_TASKLETS=1, CALL_OVERHEAD=128
# QUICK_THRESHOLD=18, PIVOT=MEDIAN_OF_RANDOM, PARTITION_PRIO=SHORTER, RECURSIVE=true, MERGE_THRESHOLD=32
n	µ_Normal σ_Normal	µ_TrivialBC σ_TrivialBC	µ_NoTrivial σ_NoTrivial	µ_OneInsertion σ_OneInsertion	µ_ThreshBC σ_ThreshBC	µ_ThreshTrivBC σ_ThreshTrivBC	µ_ThreshThenTriv σ_ThreshThenTriv	µ_TrivInThresh σ_TrivInThresh
16  	   1699     7	   1728     2	   1696     2	   1796     7	   3321    41	   3330    38	   1695     2	   1700     7
24  	   5473  1013	   5496  1000	   5508  1009	   5801  1084	   5123   923	   5133   922	   5665  1062	   5530  1011
32  	   8119  1534	   8153  1532	   8139  1525	   8542  1633	   7628  1404	   7636  1402	   8434  1612	   8169  1530
48  	  14587  1933	  14643  1934	  14597  1925	  15239  2043	  13835  1795	  13844  1794	  15231  2041	  14643  1932
64  	  21416  2225	  21493  2224	  21429  2218	  22309  2348	  20418  2081	  20426  2080	  22456  2352	  21489  2225
96  	  36225  3015	  36332  3046	  36242  3006	  37587  3160	  34730  2876	  34736  2876	  38130  3213	  36330  3014
128 	  51749  3620	  51901  3729	  51768  3608	  53576  3771	  49792  3538	  49799  3538	  54635  3907	  51888  3616
192 	  85399  4890	  85591  5048	  85417  4880	  88159  5054	  82409  4852	  82414  4853	  90415  5286	  85596  4888
256 	 121183  5962	 121421  6216	 121214  5950	 124903  6135	 117184  6026	 117184  6022	 128578  6493	 121448  5955
384 	 196805  8906	 197131  9204	 196836  8890	 202387  9102	 190763  8960	 190761  8956	 209313  9674	 197185  8894
512 	 276619 10949	 277018 11719	 276653 10928	 284062 11141	 268574 11464	 268564 11462	 294686 12089	 277121 10932
768 	 444181 15402	 445131 16540	 444227 15374	 455394 15594	 432451 16296	 432436 16299	 474315 17079	 444938 15387
1024	 621077 20587	 622148 22296	 621120 20575	 636062 20792	 605194 22083	 605160 22088	 663991 23013	 622063 20580
