# reps=1000, dist name=Zipf, dist param=0, TYPE=UINT64, BLOCK_SIZE=16512, SEQREAD_CACHE_SIZE=1024, NR_TASKLETS=1, CALL_OVERHEAD=128
# QUICK_THRESHOLD=18, PIVOT=MEDIAN_OF_RANDOM, PARTITION_PRIO=SHORTER, RECURSIVE=true, MERGE_THRESHOLD=32
n	µ_Normal σ_Normal	µ_TrivialBC σ_TrivialBC	µ_NoTrivial σ_NoTrivial	µ_OneInsertion σ_OneInsertion	µ_ThreshBC σ_ThreshBC	µ_ThreshTrivBC σ_ThreshTrivBC	µ_ThreshThenTriv σ_ThreshThenTriv	µ_TrivInThresh σ_TrivInThresh
16  	   5852   743	   5875   744	   5843   744	   5942   743	   5523   570	   5533   568	   5843   743	   5853   744
24  	  10190  1056	  10218  1044	  10226  1058	  10521  1099	   9553   987	   9563   985	  10388  1086	  10249  1057
32  	  14611  1213	  14664  1215	  14628  1211	  15041  1263	  13775  1158	  13785  1160	  14941  1261	  14658  1212
48  	  24173  1563	  24221  1556	  24187  1564	  24823  1619	  22991  1515	  23001  1516	  24808  1620	  24232  1565
64  	  33967  1788	  34014  1787	  33982  1782	  34837  1843	  32443  1734	  32450  1739	  34955  1852	  34042  1783
96  	  55288  2513	  55392  2569	  55301  2506	  56625  2580	  53289  2482	  53296  2484	  57161  2650	  55389  2509
128 	  77105  2837	  77244  2926	  77119  2826	  78890  2899	  74678  2858	  74687  2863	  79909  3005	  77237  2829
192 	 122631  3721	 122761  3907	 122659  3718	 125300  3798	 119539  3798	 119544  3801	 127451  4003	 122831  3719
256 	 170051  4634	 170365  4882	 170066  4626	 173596  4722	 166700  4806	 166710  4810	 177198  5003	 170298  4633
384 	 268665  6896	 268930  7368	 268728  6887	 273996  6988	 264792  7260	 264797  7264	 280666  7540	 269070  6891
512 	 369824  9018	 370479  9789	 369893  9022	 376882  9089	 366320  9678	 366321  9680	 387250 10011	 370347  9025
768 	 580278 12968	 581207 14230	 580419 12960	 590853 13041	 577887 14155	 577895 14162	 609088 14525	 581102 12966
1024	 794347 15673	 795305 17284	 794583 15701	 808303 15829	 793692 17214	 793689 17216	 834927 17611	 795480 15707
