# reps=1000, dist name=reverse, dist param=0, TYPE=UINT32, BLOCK_SIZE=16512, SEQREAD_CACHE_SIZE=1024, NR_TASKLETS=1, CALL_OVERHEAD=128
# QUICK_THRESHOLD=18, PIVOT=RANDOM, PARTITION_PRIO=LEFT, RECURSIVE=true, MERGE_THRESHOLD=32
n	µ_Normal σ_Normal	µ_TrivialBC σ_TrivialBC	µ_NoTrivial σ_NoTrivial	µ_OneInsertion σ_OneInsertion	µ_ThreshBC σ_ThreshBC	µ_ThreshTrivBC σ_ThreshTrivBC	µ_ThreshThenTriv σ_ThreshThenTriv	µ_TrivInThresh σ_TrivInThresh
16  	   6917     9	   6909     9	   6951    10	   7047    11	   4508  1128	   4527  1123	   6929    12	   6959    13
24  	   6155  1507	   6146  1498	   6579  1575	   6851  1618	   6672  1545	   6696  1547	   6301  1504	   6600  1574
32  	   8436  1943	   8430  1935	   9130  2110	   9503  2195	   9330  2093	   9363  2100	   8653  1954	   9158  2111
48  	  13704  1855	  13708  1847	  14941  2082	  15504  2156	  15343  2099	  15392  2107	  14049  1872	  14985  2080
64  	  19443  2405	  19451  2395	  21327  2770	  22089  2866	  21930  2794	  21994  2804	  19920  2434	  21383  2771
96  	  31700  3028	  31731  3020	  34938  3558	  36086  3658	  35945  3601	  36039  3610	  32434  3063	  35025  3558
128 	  44913  3824	  44960  3806	  49658  4540	  51201  4655	  51064  4590	  51187  4604	  45908  3865	  49769  4539
192 	  72994  5377	  73070  5367	  80960  6413	  83293  6535	  83169  6471	  83362  6483	  74511  5427	  81128  6414
256 	 102920  7152	 103027  7131	 114398  8574	 117523  8721	 117417  8617	 117672  8630	 104965  7210	 114619  8574
384 	 165883 10391	 166071 10384	 184937 12627	 189607 12759	 189612 12715	 189994 12730	 168973 10449	 185269 12629
512 	 232492 13999	 232743 13982	 259622 16964	 265864 17099	 265915 17043	 266416 17061	 236634 14066	 260065 16960
768 	 371456 20826	 371830 20810	 415146 25101	 424539 25252	 424663 25197	 425419 25207	 377699 20893	 415815 25105
1024	 517287 26214	 517804 26202	 579032 32289	 591618 32454	 591831 32404	 592841 32429	 525654 26297	 579923 32294
