# reps=1000, dist name=sorted, dist param=0, TYPE=UINT32, BLOCK_SIZE=16512, SEQREAD_CACHE_SIZE=1024, NR_TASKLETS=1, CALL_OVERHEAD=128
# QUICK_THRESHOLD=18, PIVOT=RANDOM, PARTITION_PRIO=LEFT, RECURSIVE=true, MERGE_THRESHOLD=32
n	µ_Normal σ_Normal	µ_TrivialBC σ_TrivialBC	µ_NoTrivial σ_NoTrivial	µ_OneInsertion σ_OneInsertion	µ_ThreshBC σ_ThreshBC	µ_ThreshTrivBC σ_ThreshTrivBC	µ_ThreshThenTriv σ_ThreshThenTriv	µ_TrivInThresh σ_TrivInThresh
16  	   1299     6	   1283     7	   1331     6	   1428     7	   2407   107	   2426   102	   1312     2	   1344     2
24  	   3833   785	   3824   774	   4172   925	   4445   986	   4103   943	   4126   946	   3898   814	   4194   923
32  	   5841  1262	   5834  1250	   6398  1484	   6769  1583	   6338  1511	   6371  1518	   5927  1301	   6426  1484
48  	  10353  1665	  10357  1652	  11378  1949	  11943  2049	  11343  1981	  11390  1990	  10481  1706	  11421  1950
64  	  15233  2103	  15246  2092	  16810  2471	  17568  2583	  16804  2510	  16866  2520	  15401  2146	  16867  2473
96  	  25911  2883	  25939  2870	  28672  3435	  29819  3553	  28715  3495	  28811  3509	  26165  2933	  28755  3436
128 	  37535  3854	  37579  3842	  41649  4566	  43199  4704	  41746  4626	  41873  4640	  37877  3911	  41761  4568
192 	  62354  5480	  62430  5468	  69363  6523	  71702  6666	  69574  6592	  69761  6608	  62868  5542	  69531  6524
256 	  89107  7020	  89216  6997	  99269  8340	 102397  8478	  99582  8403	  99835  8416	  89796  7083	  99494  8339
384 	 145614  9966	 145799  9958	 162587 11913	 167260 12033	 163114 11993	 163489 12009	 146643 10020	 162919 11909
512 	 205577 13897	 205824 13887	 229806 16488	 236059 16624	 230558 16551	 231063 16563	 206958 13957	 230251 16487
768 	 331690 19670	 332070 19643	 371259 23410	 380649 23539	 372424 23490	 373180 23504	 333758 19736	 371924 23414
1024	 465824 26747	 466323 26726	 521987 31608	 534574 31770	 523610 31687	 524626 31703	 468607 26819	 522881 31606
