# reps=1000, dist name=uniform, dist param=0, TYPE=UINT32, BLOCK_SIZE=16512, SEQREAD_CACHE_SIZE=1024, NR_TASKLETS=1, CALL_OVERHEAD=128
# QUICK_THRESHOLD=18, PIVOT=RANDOM, PARTITION_PRIO=LEFT, RECURSIVE=true, MERGE_THRESHOLD=32
n	µ_Normal σ_Normal	µ_TrivialBC σ_TrivialBC	µ_NoTrivial σ_NoTrivial	µ_OneInsertion σ_OneInsertion	µ_ThreshBC σ_ThreshBC	µ_ThreshTrivBC σ_ThreshTrivBC	µ_ThreshThenTriv σ_ThreshThenTriv	µ_TrivInThresh σ_TrivInThresh
16  	   4200   496	   4190   496	   4234   496	   4333   496	   4368   503	   4387   499	   4212   496	   4245   497
24  	   7218   827	   7210   815	   7623   931	   7899   974	   7668   944	   7693   946	   7342   848	   7644   927
32  	  10476  1041	  10469  1026	  11136  1217	  11511  1286	  11290  1244	  11322  1250	  10670  1074	  11165  1214
48  	  17486  1407	  17489  1392	  18735  1658	  19302  1738	  19159  1698	  19206  1706	  17842  1441	  18778  1657
64  	  24985  1814	  24999  1801	  26942  2164	  27706  2242	  27674  2212	  27738  2219	  25522  1849	  26998  2162
96  	  41203  2593	  41230  2577	  44693  3112	  45848  3202	  46114  3154	  46210  3165	  42140  2630	  44778  3108
128 	  58156  3352	  58202  3334	  63343  3989	  64897  4063	  65536  4008	  65664  4017	  59541  3374	  63457  3986
192 	  94079  4913	  94153  4895	 102883  5829	 105211  5923	 106771  5838	 106960  5851	  96436  4933	 103051  5826
256 	 132202  6277	 132320  6261	 145008  7512	 148121  7604	 150771  7508	 151022  7519	 135610  6283	 145234  7508
384 	 212904  9682	 213094  9669	 234516 11595	 239208 11702	 244369 11552	 244751 11569	 218591  9665	 234856 11595
512 	 297424 12739	 297669 12731	 328320 15380	 334584 15482	 342530 15284	 343034 15294	 305536 12690	 328768 15379
768 	 475417 19372	 475802 19349	 526658 23114	 536067 23214	 550293 22889	 551053 22898	 488719 19262	 527324 23110
1024	 658885 25375	 659394 25361	 731223 30257	 743784 30336	 764955 29877	 765972 29885	 677716 25198	 732115 30247
