# reps=1000, dist name=Zipf, dist param=0, TYPE=UINT32, BLOCK_SIZE=16512, SEQREAD_CACHE_SIZE=1024, NR_TASKLETS=1, CALL_OVERHEAD=128
# QUICK_THRESHOLD=18, PIVOT=RANDOM, PARTITION_PRIO=LEFT, RECURSIVE=true, MERGE_THRESHOLD=32
n	µ_Normal σ_Normal	µ_TrivialBC σ_TrivialBC	µ_NoTrivial σ_NoTrivial	µ_OneInsertion σ_OneInsertion	µ_ThreshBC σ_ThreshBC	µ_ThreshTrivBC σ_ThreshTrivBC	µ_ThreshThenTriv σ_ThreshThenTriv	µ_TrivInThresh σ_TrivInThresh
16  	   4150   500	   4140   501	   4184   501	   4283   501	   4272   466	   4292   465	   4163   501	   4195   501
24  	   7040   816	   7030   802	   7433   896	   7707   938	   7481   903	   7506   907	   7162   830	   7456   895
32  	  10044   928	  10039   913	  10693  1057	  11062  1119	  10859  1083	  10893  1090	  10235   949	  10723  1056
48  	  16659  1327	  16663  1311	  17887  1524	  18445  1593	  18325  1553	  18375  1561	  17013  1350	  17931  1524
64  	  23541  1618	  23556  1598	  25395  1867	  26138  1941	  26137  1898	  26199  1908	  24076  1642	  25452  1866
96  	  38210  2241	  38248  2224	  41561  2604	  42680  2683	  43043  2632	  43139  2644	  39166  2261	  41649  2604
128 	  53495  2994	  53554  2980	  58496  3523	  59992  3599	  60806  3532	  60934  3540	  54912  3000	  58613  3523
192 	  85220  3926	  85336  3915	  93691  4641	  95903  4732	  97879  4642	  98061  4651	  87665  3927	  93867  4643
256 	 118322  5349	 118490  5342	 130644  6388	 133565  6462	 136920  6340	 137164  6349	 121903  5331	 130878  6388
384 	 187595  7618	 187868  7609	 208372  9112	 212696  9178	 219315  8995	 219675  9003	 193682  7557	 208718  9112
512 	 258123 10352	 258512 10348	 287779 12229	 293476 12298	 303937 12042	 304423 12053	 266979 10252	 288242 12234
768 	 404938 15444	 405545 15444	 453579 18456	 461931 18512	 481126 18177	 481833 18179	 419792 15302	 454277 18463
1024	 555516 20165	 556346 20169	 624469 24205	 635443 24287	 664545 23876	 665476 23886	 576940 19984	 625389 24214
