# reps=1000, dist name=almost, dist param=0, TYPE=UINT64, BLOCK_SIZE=16512, SEQREAD_CACHE_SIZE=1024, NR_TASKLETS=1, CALL_OVERHEAD=128
# QUICK_THRESHOLD=18, PIVOT=RANDOM, PARTITION_PRIO=LEFT, RECURSIVE=true, MERGE_THRESHOLD=32
n	µ_Normal σ_Normal	µ_TrivialBC σ_TrivialBC	µ_NoTrivial σ_NoTrivial	µ_OneInsertion σ_OneInsertion	µ_ThreshBC σ_ThreshBC	µ_ThreshTrivBC σ_ThreshTrivBC	µ_ThreshThenTriv σ_ThreshThenTriv	µ_TrivInThresh σ_TrivInThresh
16  	   3894   819	   3884   819	   3927   820	   4027   819	   4297   614	   4316   613	   3906   819	   3939   819
24  	   6567  1252	   6561  1239	   6910  1353	   7245  1425	   6785  1348	   6810  1349	   6668  1283	   6932  1351
32  	   9496  1593	   9493  1581	  10058  1758	  10526  1868	   9964  1781	   9995  1785	   9638  1633	  10087  1756
48  	  15787  2256	  15787  2239	  16827  2487	  17560  2615	  16810  2512	  16858  2518	  16008  2303	  16868  2485
64  	  22868  2807	  22882  2793	  24449  3094	  25441  3233	  24493  3115	  24558  3122	  23176  2857	  24507  3094
96  	  37434  3973	  37461  3957	  40222  4431	  41744  4589	  40419  4480	  40515  4490	  37895  4033	  40306  4432
128 	  53706  5031	  53747  5014	  57860  5585	  59920  5746	  58196  5623	  58322  5631	  54332  5089	  57971  5585
192 	  87385  7302	  87462  7282	  94416  8107	  97532  8292	  95042  8147	  95230  8156	  88310  7362	  94581  8108
256 	 124417  9549	 124530  9526	 134563 10638	 138747 10846	 135493 10704	 135747 10717	 125663  9622	 134788 10635
384 	 201892 13799	 202075 13783	 218817 15337	 225091 15509	 220268 15375	 220648 15385	 203714 13852	 219154 15339
512 	 284777 19041	 285019 19022	 308927 21113	 317335 21318	 310913 21140	 311417 21150	 287188 19104	 309365 21113
768 	 456921 26812	 457306 26797	 496205 29869	 508840 30074	 499217 29909	 499977 29914	 460460 26872	 496876 29870
1024	 643286 37026	 643786 36997	 699224 41001	 716175 41241	 703266 41027	 704283 41040	 648009 37090	 700114 41001
