# reps=1000, dist name=normal, dist param=0, TYPE=UINT64, BLOCK_SIZE=16512, SEQREAD_CACHE_SIZE=1024, NR_TASKLETS=1, CALL_OVERHEAD=128
# QUICK_THRESHOLD=18, PIVOT=RANDOM, PARTITION_PRIO=LEFT, RECURSIVE=true, MERGE_THRESHOLD=32
n	µ_Normal σ_Normal	µ_TrivialBC σ_TrivialBC	µ_NoTrivial σ_NoTrivial	µ_OneInsertion σ_OneInsertion	µ_ThreshBC σ_ThreshBC	µ_ThreshTrivBC σ_ThreshTrivBC	µ_ThreshThenTriv σ_ThreshThenTriv	µ_TrivInThresh σ_TrivInThresh
16  	   5303   739	   5293   740	   5337   740	   5436   740	   5026   626	   5046   624	   5315   740	   5349   740
24  	   8894  1048	   8889  1041	   9264  1107	   9588  1151	   9035  1079	   9059  1080	   9035  1061	   9286  1106
32  	  12855  1241	  12854  1230	  13467  1322	  13915  1378	  13279  1333	  13311  1336	  13074  1259	  13498  1320
48  	  21804  1744	  21815  1729	  22994  1892	  23707  1966	  22901  1936	  22950  1943	  22208  1766	  23039  1889
64  	  31186  2292	  31208  2281	  33067  2553	  34034  2644	  33171  2597	  33235  2606	  31796  2321	  33126  2552
96  	  51632  3337	  51681  3329	  54943  3666	  56430  3768	  55397  3685	  55494  3694	  52686  3354	  55034  3665
128 	  73159  4506	  73223  4496	  78117  4983	  80130  5087	  79018  4993	  79148  5000	  74696  4516	  78232  4985
192 	 119726  6827	 119845  6813	 128303  7536	 131348  7630	 130284  7551	 130478  7558	 122316  6817	 128478  7536
256 	 168122  7968	 168283  7962	 180478  8823	 184561  8928	 183735  8836	 183993  8850	 171846  7951	 180714  8826
384 	 270657 12926	 270911 12923	 291494 14381	 297641 14482	 297522 14335	 297899 14348	 276807 12875	 291851 14382
512 	 379751 17551	 380093 17545	 409576 19426	 417788 19540	 418667 19281	 419173 19290	 388478 17473	 410049 19431
768 	 608042 25905	 608577 25905	 657464 28746	 669822 28828	 673510 28502	 674282 28516	 622300 25771	 658171 28743
1024	 848158 34747	 848875 34730	 918336 38275	 934835 38342	 941924 37835	 942943 37843	 868235 34539	 919282 38278
