# reps=1000, dist name=Zipf, dist param=0, TYPE=UINT32, BLOCK_SIZE=16512, SEQREAD_CACHE_SIZE=1024, NR_TASKLETS=1, CALL_OVERHEAD=128
# QUICK_THRESHOLD=18, PIVOT=RANDOM, PARTITION_PRIO=RIGHT, RECURSIVE=true, MERGE_THRESHOLD=32
n	µ_Normal σ_Normal	µ_TrivialBC σ_TrivialBC	µ_NoTrivial σ_NoTrivial	µ_OneInsertion σ_OneInsertion	µ_ThreshBC σ_ThreshBC	µ_ThreshTrivBC σ_ThreshTrivBC	µ_ThreshThenTriv σ_ThreshThenTriv	µ_TrivInThresh σ_TrivInThresh
16  	   4184   500	   4173   501	   4184   501	   4284   501	   4495   446	   4514   442	   4184   501	   4196   501
24  	   7126   837	   7122   833	   7451   892	   7725   935	   7895   954	   7920   955	   7458   896	   7474   890
32  	  10152   966	  10158   966	  10707  1054	  11076  1116	  11559  1173	  11592  1177	  10717  1058	  10737  1053
48  	  16836  1353	  16853  1350	  17925  1478	  18483  1553	  19734  1642	  19781  1647	  17951  1483	  17969  1478
64  	  23838  1725	  23865  1722	  25525  1875	  26272  1955	  28422  2078	  28484  2083	  25561  1881	  25582  1875
96  	  38504  2402	  38554  2402	  41575  2572	  42700  2656	  46986  2809	  47082  2813	  41640  2577	  41664  2571
128 	  53776  3038	  53851  3033	  58363  3277	  59848  3362	  66559  3599	  66681  3602	  58449  3283	  58480  3276
192 	  85955  4298	  86079  4292	  93856  4628	  96066  4709	 108234  5076	 108417  5081	  93995  4633	  94031  4628
256 	 119341  5533	 119515  5526	 130976  6048	 133893  6138	 152274  6690	 152511  6696	 131156  6051	 131207  6048
384 	 189123  8025	 189403  8027	 208678  8589	 212996  8677	 245031  9392	 245388  9394	 208953  8599	 209023  8596
512 	 260124 11248	 260516 11248	 288223 12044	 293896 12109	 341004 13108	 341477 13113	 288589 12047	 288690 12045
768 	 408371 16557	 408986 16560	 454883 17885	 463247 17943	 543402 19540	 544109 19543	 455431 17890	 455582 17887
1024	 558998 20773	 559843 20777	 625196 22027	 636154 22108	 752450 23913	 753369 23922	 625919 22036	 626125 22030
