# reps=1000, dist name=normal, dist param=0, TYPE=UINT64, BLOCK_SIZE=16512, SEQREAD_CACHE_SIZE=1024, NR_TASKLETS=1, CALL_OVERHEAD=128
# QUICK_THRESHOLD=18, PIVOT=RANDOM, PARTITION_PRIO=RIGHT, RECURSIVE=true, MERGE_THRESHOLD=32
n	µ_Normal σ_Normal	µ_TrivialBC σ_TrivialBC	µ_NoTrivial σ_NoTrivial	µ_OneInsertion σ_OneInsertion	µ_ThreshBC σ_ThreshBC	µ_ThreshTrivBC σ_ThreshTrivBC	µ_ThreshThenTriv σ_ThreshThenTriv	µ_TrivInThresh σ_TrivInThresh
16  	   4767   619	   4757   620	   4769   619	   5437   739	   4960   546	   4980   541	   4768   619	   4779   619
24  	   8007   885	   7999   875	   8327   942	   9246  1074	   8868  1061	   8892  1060	   8516   998	   8349   939
32  	  11499  1041	  11499  1030	  12045  1120	  13279  1254	  13121  1320	  13152  1323	  12387  1201	  12075  1117
48  	  19360  1453	  19370  1439	  20453  1591	  22335  1733	  22830  1924	  22877  1926	  21186  1744	  20496  1590
64  	  27559  1929	  27579  1909	  29300  2176	  31816  2329	  33213  2746	  33278  2749	  30504  2454	  29359  2175
96  	  45379  2704	  45424  2692	  48479  3030	  52292  3189	  55681  3831	  55774  3836	  50650  3424	  48570  3032
128 	  64109  3716	  64176  3701	  68792  4185	  73854  4342	  79807  5276	  79930  5281	  72109  4742	  68910  4184
192 	 104200  5336	 104307  5324	 112311  5984	 119931  6149	 131650  7589	 131834  7596	 118114  6803	 112488  5984
256 	 146040  6601	 146200  6590	 157864  7436	 168065  7570	 186241  9537	 186486  9545	 166343  8495	 158102  7434
384 	 234571 10754	 234812 10740	 254620 12274	 269876 12415	 303029 15834	 303398 15840	 269118 14121	 254979 12269
512 	 328302 14528	 328639 14514	 357116 16480	 377495 16640	 426927 21191	 427426 21205	 377971 18918	 357591 16477
768 	 523420 20885	 523942 20874	 571304 23720	 601851 23888	 687735 30529	 688474 30538	 606117 27239	 572014 23721
1024	 728938 26873	 729637 26855	 797174 30470	 837920 30670	 963346 39264	 964325 39273	 846937 35002	 798121 30465
