# reps=1000, dist name=reverse, dist param=0, TYPE=UINT64, BLOCK_SIZE=16512, SEQREAD_CACHE_SIZE=1024, NR_TASKLETS=1, CALL_OVERHEAD=128
# QUICK_THRESHOLD=18, PIVOT=RANDOM, PARTITION_PRIO=RIGHT, RECURSIVE=true, MERGE_THRESHOLD=32
n	µ_Normal σ_Normal	µ_TrivialBC σ_TrivialBC	µ_NoTrivial σ_NoTrivial	µ_OneInsertion σ_OneInsertion	µ_ThreshBC σ_ThreshBC	µ_ThreshTrivBC σ_ThreshTrivBC	µ_ThreshThenTriv σ_ThreshThenTriv	µ_TrivInThresh σ_TrivInThresh
16  	   8600    11	   8591    11	   8601    11	  10020    13	   5594  1378	   5611  1371	   8601    11	   8612    13
24  	   7342  1809	   7332  1801	   7697  1855	   8485  2168	   8338  1908	   8361  1909	   7902  1914	   7719  1855
32  	   9982  2275	   9976  2266	  10580  2399	  11516  2736	  11764  2615	  11795  2620	  10954  2527	  10609  2400
48  	  16066  2137	  16068  2123	  17155  2297	  18458  2565	  19454  2636	  19499  2641	  17910  2476	  17198  2296
64  	  22751  2770	  22760  2750	  24438  3055	  26111  3344	  28039  3635	  28098  3641	  25652  3347	  24493  3055
96  	  37059  3346	  37078  3325	  40034  3786	  42458  4045	  46463  4725	  46550  4733	  42302  4252	  40118  3787
128 	  52282  4311	  52324  4293	  56636  4885	  59817  5186	  66050  6139	  66172  6144	  60025  5485	  56748  4887
192 	  84767  5908	  84830  5884	  92188  6866	  96819  7124	 108228  8961	 108408  8968	  98161  7880	  92355  6865
256 	 118938  7970	 119030  7943	 129667  9243	 135797  9537	 152797 12067	 153034 12077	 138440 10604	 129890  9242
384 	 191057 11310	 191216 11283	 208690 13237	 217738 13641	 246587 17493	 246943 17504	 223406 15298	 209025 13241
512 	 268009 14541	 268215 14513	 293378 17108	 305457 17541	 347698 22857	 348172 22869	 314841 19894	 293833 17109
768 	 427162 21556	 427482 21518	 468355 25521	 486275 26125	 556216 34390	 556917 34397	 503649 29830	 469021 25525
1024	 597288 28035	 597725 28019	 655783 33200	 679824 33832	 780142 44717	 781087 44729	 706381 38809	 656669 33202
