# reps=1000, dist name=sorted, dist param=0, TYPE=UINT64, BLOCK_SIZE=16512, SEQREAD_CACHE_SIZE=1024, NR_TASKLETS=1, CALL_OVERHEAD=128
# QUICK_THRESHOLD=18, PIVOT=RANDOM, PARTITION_PRIO=RIGHT, RECURSIVE=true, MERGE_THRESHOLD=32
n	µ_Normal σ_Normal	µ_TrivialBC σ_TrivialBC	µ_NoTrivial σ_NoTrivial	µ_OneInsertion σ_OneInsertion	µ_ThreshBC σ_ThreshBC	µ_ThreshTrivBC σ_ThreshTrivBC	µ_ThreshThenTriv σ_ThreshThenTriv	µ_TrivInThresh σ_TrivInThresh
16  	   1664     2	   1651     6	   1664     2	   1759     3	   3001   117	   3019   110	   1664     2	   1668     7
24  	   4568   857	   4559   842	   4841   969	   5177  1055	   5153  1176	   5176  1177	   5043  1061	   4862   967
32  	   6920  1392	   6912  1377	   7384  1573	   7853  1708	   8042  1920	   8073  1923	   7751  1723	   7412  1573
48  	  12161  1828	  12164  1814	  13041  2056	  13769  2196	  14489  2519	  14534  2524	  13800  2262	  13083  2056
64  	  17854  2326	  17859  2311	  19247  2619	  20235  2775	  21650  3243	  21709  3249	  20479  2901	  19303  2621
96  	  30212  3228	  30240  3209	  32677  3652	  34196  3828	  37125  4585	  37212  4592	  34914  4084	  32760  3652
128 	  43790  4361	  43829  4335	  47504  4940	  49566  5136	  54331  6240	  54452  6245	  50912  5544	  47615  4943
192 	  72519  6240	  72583  6221	  78940  7097	  82057  7298	  90965  9053	  91143  9060	  84922  8019	  79107  7099
256 	 103201  7851	 103299  7830	 112536  8891	 116727  9100	 130169 11362	 130407 11370	 121285 10043	 112760  8894
384 	 168544 11200	 168708 11183	 184252 12602	 190532 12794	 214163 16067	 214525 16079	 199114 14233	 184590 12607
512 	 237156 14943	 237380 14930	 259643 16978	 268034 17179	 302669 21927	 303144 21937	 280984 19324	 260090 16978
768 	 384817 22700	 385155 22662	 422125 25900	 434744 26105	 493858 33629	 494567 33637	 457722 29580	 422788 25901
1024	 539223 29395	 539673 29360	 592215 33712	 609153 33944	 694359 44101	 695316 44102	 642895 38675	 593103 33712
