# reps=1000, dist name=uniform, dist param=0, TYPE=UINT64, BLOCK_SIZE=16512, SEQREAD_CACHE_SIZE=1024, NR_TASKLETS=1, CALL_OVERHEAD=128
# QUICK_THRESHOLD=18, PIVOT=RANDOM, PARTITION_PRIO=RIGHT, RECURSIVE=true, MERGE_THRESHOLD=32
n	µ_Normal σ_Normal	µ_TrivialBC σ_TrivialBC	µ_NoTrivial σ_NoTrivial	µ_OneInsertion σ_OneInsertion	µ_ThreshBC σ_ThreshBC	µ_ThreshTrivBC σ_ThreshTrivBC	µ_ThreshThenTriv σ_ThreshThenTriv	µ_TrivInThresh σ_TrivInThresh
16  	   5221   617	   5210   617	   5221   617	   5976   738	   5402   615	   5420   609	   5221   617	   5232   617
24  	   8651   957	   8640   942	   8987  1031	  10015  1158	   9540  1175	   9563  1175	   9193  1095	   9008  1026
32  	  12496  1182	  12491  1165	  13063  1307	  14462  1435	  14148  1576	  14179  1577	  13426  1419	  13091  1302
48  	  20665  1597	  20667  1579	  21772  1768	  23879  1912	  24132  2162	  24176  2164	  22533  1946	  21817  1766
64  	  29408  1995	  29418  1973	  31159  2229	  33985  2384	  35016  2760	  35076  2762	  32382  2481	  31216  2225
96  	  48136  2973	  48161  2947	  51294  3375	  55568  3535	  58495  4288	  58584  4293	  53553  3818	  51380  3372
128 	  67944  3829	  67981  3807	  72668  4325	  78355  4491	  83604  5483	  83721  5490	  76033  4903	  72779  4320
192 	 109896  5706	 109955  5680	 118142  6460	 126689  6642	 137498  8217	 137676  8224	 124097  7356	 118307  6458
256 	 154057  7345	 154159  7324	 166171  8336	 177562  8518	 194800 10707	 195041 10710	 174976  9529	 166397  8334
384 	 246774 10798	 246925 10778	 267105 12029	 284198 12226	 315565 15135	 315927 15147	 281923 13613	 267440 12027
512 	 343792 15121	 344007 15102	 373012 17156	 395836 17338	 442995 21927	 443469 21935	 394358 19616	 373463 17152
768 	 549032 22180	 549380 22160	 597815 25035	 632042 25222	 715029 31741	 715743 31750	 633664 28539	 598490 25031
1024	 760821 29569	 761293 29545	 829746 33215	 875449 33367	 996019 42052	 996972 42055	 880351 37813	 830649 33214
