# reps=1000, dist name=reverse, dist param=0, TYPE=UINT32, BLOCK_SIZE=16512, SEQREAD_CACHE_SIZE=1024, NR_TASKLETS=1, CALL_OVERHEAD=128
# QUICK_THRESHOLD=18, PIVOT=RANDOM, PARTITION_PRIO=SHORTER, RECURSIVE=true, MERGE_THRESHOLD=32
n	µ_Normal σ_Normal	µ_TrivialBC σ_TrivialBC	µ_NoTrivial σ_NoTrivial	µ_OneInsertion σ_OneInsertion	µ_ThreshBC σ_ThreshBC	µ_ThreshTrivBC σ_ThreshTrivBC	µ_ThreshThenTriv σ_ThreshThenTriv	µ_TrivInThresh σ_TrivInThresh
16  	   6991    12	   7014    10	   6982    10	   7085     9	   4669  1134	   4673  1126	   6982    10	   6992    12
24  	   6692  1540	   6730  1510	   6800  1568	   7053  1609	   6906  1576	   6914  1571	   6974  1624	   6827  1566
32  	   9235  2053	   9289  2023	   9374  2097	   9724  2179	   9680  2160	   9684  2154	   9705  2216	   9409  2097
48  	  14965  1968	  15065  1927	  15163  2005	  15688  2079	  16005  2205	  16005  2200	  15846  2183	  15213  1999
64  	  21241  2613	  21370  2559	  21525  2669	  22232  2765	  23066  3046	  23061  3037	  22640  2953	  21591  2660
96  	  34501  3238	  34720  3181	  34929  3288	  36000  3392	  38083  3988	  38072  3983	  37007  3726	  35033  3274
128 	  48638  3943	  48929  3893	  49226  3997	  50664  4114	  54193  4990	  54172  4986	  52375  4583	  49365  3983
192 	  78926  5744	  79362  5676	  79821  5803	  81984  5922	  89076  7576	  89042  7567	  85437  6777	  80027  5788
256 	 110846  7565	 111428  7488	 112058  7640	 114963  7789	 126106 10137	 126057 10129	 120405  8975	 112323  7623
384 	 177520 10503	 178425 10433	 179339 10576	 183660 10713	 203744 14524	 203666 14513	 193467 12599	 179739 10553
512 	 248057 14019	 249247 13916	 250504 14101	 256274 14260	 286389 19467	 286281 19449	 271018 16836	 251027 14075
768 	 395461 20511	 397268 20421	 399138 20572	 407802 20707	 459732 29040	 459557 29029	 433274 24787	 399930 20531
1024	 549407 27078	 551847 26969	 554319 27141	 565935 27304	 641433 38678	 641205 38661	 603015 32876	 555393 27115
