# reps=1000, dist name=uniform, dist param=0, TYPE=UINT32, BLOCK_SIZE=16512, SEQREAD_CACHE_SIZE=1024, NR_TASKLETS=1, CALL_OVERHEAD=128
# QUICK_THRESHOLD=18, PIVOT=RANDOM, PARTITION_PRIO=SHORTER, RECURSIVE=true, MERGE_THRESHOLD=32
n	µ_Normal σ_Normal	µ_TrivialBC σ_TrivialBC	µ_NoTrivial σ_NoTrivial	µ_OneInsertion σ_OneInsertion	µ_ThreshBC σ_ThreshBC	µ_ThreshTrivBC σ_ThreshTrivBC	µ_ThreshThenTriv σ_ThreshThenTriv	µ_TrivInThresh σ_TrivInThresh
16  	   4278   496	   4300   496	   4267   497	   4367   497	   4530   520	   4535   511	   4268   496	   4278   497
24  	   7716   905	   7753   857	   7824   940	   8082   983	   7904   979	   7910   970	   8000  1006	   7852   937
32  	  11233  1166	  11289  1109	  11372  1216	  11724  1285	  11636  1312	  11641  1304	  11693  1330	  11408  1211
48  	  18770  1541	  18869  1486	  18968  1588	  19498  1666	  19820  1811	  19819  1803	  19658  1770	  19019  1582
64  	  26885  1943	  27020  1873	  27166  1996	  27876  2075	  28785  2382	  28782  2374	  28289  2262	  27233  1986
96  	  44332  2835	  44541  2758	  44760  2892	  45820  2990	  48179  3587	  48168  3577	  46871  3325	  44857  2881
128 	  62731  3659	  63024  3580	  63321  3717	  64756  3805	  68750  4723	  68729  4712	  66509  4296	  63454  3702
192 	 101562  5217	 101994  5135	 102464  5280	 104620  5380	 112510  6856	 112475  6848	 108050  6136	 102663  5264
256 	 143117  6679	 143701  6582	 144327  6749	 147205  6850	 159780  9075	 159731  9066	 152677  7969	 144586  6728
384 	 229835  9738	 230729  9651	 231655  9808	 235983  9936	 258595 13249	 258520 13232	 245784 11583	 232049  9797
512 	 320944 13144	 322143 13051	 323393 13197	 329177 13319	 363044 18073	 362935 18058	 343818 15661	 323927 13178
768 	 512961 18961	 514791 18871	 516643 19009	 525314 19093	 584802 26361	 584644 26359	 551033 22642	 517435 18989
1024	 712503 24986	 714927 24891	 717408 25047	 728961 25147	 815521 34679	 815298 34665	 766323 29803	 718463 25020
