# reps=1000, dist name=Zipf, dist param=0, TYPE=UINT32, BLOCK_SIZE=16512, SEQREAD_CACHE_SIZE=1024, NR_TASKLETS=1, CALL_OVERHEAD=128
# QUICK_THRESHOLD=18, PIVOT=RANDOM, PARTITION_PRIO=SHORTER, RECURSIVE=true, MERGE_THRESHOLD=32
n	µ_Normal σ_Normal	µ_TrivialBC σ_TrivialBC	µ_NoTrivial σ_NoTrivial	µ_OneInsertion σ_OneInsertion	µ_ThreshBC σ_ThreshBC	µ_ThreshTrivBC σ_ThreshTrivBC	µ_ThreshThenTriv σ_ThreshThenTriv	µ_TrivInThresh σ_TrivInThresh
16  	   4228   500	   4251   501	   4218   501	   4316   501	   4430   477	   4438   471	   4217   500	   4228   501
24  	   7532   879	   7579   847	   7637   908	   7893   949	   7713   933	   7720   929	   7805   960	   7666   905
32  	  10794  1026	  10870   997	  10922  1061	  11268  1123	  11197  1129	  11204  1127	  11238  1149	  10958  1060
48  	  17979  1427	  18102  1395	  18165  1463	  18689  1534	  19008  1626	  19016  1624	  18836  1608	  18217  1460
64  	  25440  1762	  25611  1719	  25702  1804	  26398  1882	  27229  2072	  27233  2070	  26752  2003	  25774  1799
96  	  41340  2353	  41610  2321	  41732  2390	  42771  2481	  44986  2862	  44987  2862	  43703  2689	  41836  2385
128 	  57797  2992	  58171  2959	  58326  3027	  59699  3109	  63592  3863	  63589  3861	  61321  3504	  58464  3014
192 	  92726  4182	  93311  4142	  93529  4219	  95577  4309	 103221  5501	 103213  5501	  98733  4900	  93735  4209
256 	 129014  5368	 129814  5332	 130065  5395	 132755  5472	 144896  7414	 144887  7412	 137731  6422	 130346  5380
384 	 204884  7631	 206153  7603	 206455  7660	 210459  7751	 232521 10718	 232495 10721	 219414  9197	 206898  7647
512 	 282673 10296	 284390 10290	 284741 10320	 290000 10412	 323061 14302	 323039 14303	 303350 12274	 285334 10315
768 	 444988 15729	 447653 15731	 448021 15743	 455766 15837	 513070 21841	 513045 21835	 478720 18728	 448947 15757
1024	 611612 19026	 615199 19044	 615629 19045	 625816 19126	 709128 26573	 709088 26577	 658927 22670	 616892 19055
