# reps=1000, dist name=almost, dist param=0, TYPE=UINT64, BLOCK_SIZE=16512, SEQREAD_CACHE_SIZE=1024, NR_TASKLETS=1, CALL_OVERHEAD=128
# QUICK_THRESHOLD=18, PIVOT=RANDOM, PARTITION_PRIO=SHORTER, RECURSIVE=true, MERGE_THRESHOLD=32
n	µ_Normal σ_Normal	µ_TrivialBC σ_TrivialBC	µ_NoTrivial σ_NoTrivial	µ_OneInsertion σ_OneInsertion	µ_ThreshBC σ_ThreshBC	µ_ThreshTrivBC σ_ThreshTrivBC	µ_ThreshThenTriv σ_ThreshThenTriv	µ_TrivInThresh σ_TrivInThresh
16  	   3971   819	   3994   819	   3961   819	   4060   820	   4213   610	   4219   608	   3961   819	   3972   819
24  	   6994  1350	   7013  1304	   7102  1388	   7403  1452	   6555  1255	   6560  1246	   7258  1445	   7113  1380
32  	  10118  1744	  10150  1707	  10254  1789	  10674  1889	   9523  1631	   9525  1622	  10555  1889	  10263  1781
48  	  16817  2398	  16863  2371	  17018  2448	  17674  2565	  15955  2263	  15955  2255	  17674  2602	  17027  2438
64  	  24254  3043	  24324  3006	  24532  3094	  25414  3225	  23136  2869	  23133  2858	  25583  3298	  24540  3084
96  	  39551  4172	  39649  4216	  39986  4234	  41333  4384	  37954  4077	  37944  4066	  41973  4573	  39990  4220
128 	  56528  5299	  56695  5396	  57121  5355	  58947  5500	  54459  5252	  54440  5242	  60190  5815	  57124  5340
192 	  91884  7402	  92154  7609	  92778  7467	  95528  7634	  88877  7429	  88845  7419	  98212  8164	  92780  7448
256 	 130411  9835	 130709 10128	 131617  9904	 135291 10092	 126384  9961	 126336  9952	 139637 10852	 131609  9892
384 	 210852 14210	 211531 14722	 212668 14271	 218174 14443	 205121 14537	 205046 14528	 226518 15716	 212654 14252
512 	 296326 20065	 296831 20470	 298765 20147	 306141 20380	 288336 20241	 288224 20226	 318633 22070	 298741 20134
768 	 476083 27531	 477167 29005	 479760 27597	 490860 27798	 464450 28804	 464283 28794	 513077 30712	 479720 27569
1024	 667561 38217	 668755 39367	 672502 38303	 687370 38520	 651804 39176	 651577 39160	 720151 42186	 672450 38279
