# reps=10000, upper bound=0, TYPE=UINT32, BLOCK_SIZE=2048, SEQREAD_CACHE_SIZE=1024, NR_TASKLETS=1
n       µ_End σ_End       µ_Middle σ_Middle       µ_MedianOfThree σ_MedianOfThree       µ_Random σ_Random
20        5552   524      5684     0      5570     0      6004   692
24        6945   608      7102     0      6962     0      7483   776
32        9897   772     10105     0      9899     0     10641   945
48       16215  1093     16589     0     16175     0     17540  1319
64       23032  1420     23530     0     22848     0     24771  1611
96       37547  2036     38367     0     37035     0     40423  2287
128      53009  2661     54065     0     52081     0     56829  2909
192      85776  3970     87380     0     83799     0     91681  4264
256     120360  5273    122588     0    117146     0    128292  5519
384     193381  7855    196737     0    187264     0    205473  8082
512     270097 10417    274652     0    260637     0    286287 10696
768     431247 15848    437950     0    414418     0    455496 15713
1024    599292 20701    608618     0    574557     0    632243 21253
