# reps=10000, upper bound=0, TYPE=UINT32, BLOCK_SIZE=2048, SEQREAD_CACHE_SIZE=1024, NR_TASKLETS=1
n       µ_Rec σ_Rec       µ_It σ_It
20        5413   494      5570     0
24        6786   573      6962     0
32        9698   732      9899     0
48       15936  1049     16175     0
64       22672  1372     22848     0
96       37029  1987     37035     0
128      52330  2611     52081     0
192      84776  3919     83799     0
256     119041  5221    117146     0
384     191423  7803    187264     0
512     267497 10365    260637     0
768     427369 15794    414418     0
1024    594136 20651    574557     0
