# reps=10000, upper bound=0, PIVOT=end, TYPE=UINT32, BLOCK_SIZE=2048, SEQREAD_CACHE_SIZE=1024, NR_TASKLETS=1
n       µ_Normal σ_Normal       µ_TrivialBC σ_TrivialBC µ_NoTrivial σ_NoTrivial µ_OneInsertion σ_OneInsertion   µ_ThreshBC σ_ThreshBC   µ_ThreshTrivBC σ_ThreshTrivBC   µ_ThreshThenTriv σ_ThreshThenTriv       µ_TrivInThresh σ_TrivInThresh
20        5413   494      5429   482      5756   588      5959   621      5775   611      5760   597      5776   594      5741   573
24        6786   573      6809   560      7256   695      7491   734      7312   725      7295   709      7282   702      7238   678
32        9698   732      9734   715     10444   890     10745   934     10580   924     10557   907     10482   898     10419   871
48       15936  1049     16001  1031     17314  1274     17743  1322     17631  1310     17597  1290     17375  1282     17277  1253
64       22672  1372     22763  1352     24762  1671     25321  1725     25278  1709     25232  1688     24847  1681     24713  1649
96       37029  1987     37179  1969     40704  2405     41521  2459     41664  2439     41598  2419     40835  2415     40633  2385
128      52330  2611     52539  2593     57771  3168     58846  3222     59217  3198     59128  3177     57950  3178     57676  3146
192      84776  3919     85097  3897     94013  4710     95607  4764     96500  4729     96368  4708     94286  4720     93871  4688
256     119041  5221    119478  5203    132454  6300    134564  6359    136069  6308    135893  6286    132820  6312    132266  6279
384     191423  7803    192089  7785    213741  9373    216885  9430    219775  9351    219513  9327    214295  9385    213458  9349
512     267497 10365    268391 10344    299401 12393    303582 12449    308003 12345    307653 12322    300144 12403    299022 12372
768     427369 15794    428715 15774    479747 18820    485995 18879    493827 18710    493302 18686    480867 18830    479180 18795
1024    594136 20651    595941 20630    668308 24792    676626 24849    688184 24630    687484 24607    669803 24802    667551 24765
