# reps=10000, upper bound=0, PIVOT=random, TYPE=UINT32, BLOCK_SIZE=2048, SEQREAD_CACHE_SIZE=1024, NR_TASKLETS=1
n       µ_Normal σ_Normal       µ_TrivialBC σ_TrivialBC µ_NoTrivial σ_NoTrivial µ_OneInsertion σ_OneInsertion   µ_ThreshBC σ_ThreshBC   µ_ThreshTrivBC σ_ThreshTrivBC   µ_ThreshThenTriv σ_ThreshThenTriv       µ_TrivInThresh σ_TrivInThresh
20        6057   721      6073   708      6404   844      6414   805      6443   878      6428   861      6423   851      6388   826
24        7597   821      7620   808      8063   969      8024   912      8144  1010      8127   993      8088   977      8045   951
32       10894  1013     10930   999     11638  1201     11477  1114     11812  1248     11789  1229     11675  1210     11614  1181
48       18177  1447     18242  1432     19557  1724     19090  1561     19935  1782     19901  1762     19619  1734     19521  1703
64       25787  1802     25879  1787     27867  2148     27044  1919     28466  2207     28421  2184     27952  2159     27819  2125
96       42389  2635     42540  2619     46072  3152     44388  2762     47168  3214     47102  3190     46203  3165     46001  3128
128      59822  3335     60028  3318     65236  3989     62599  3459     66856  4049     66767  4025     65414  4002     65140  3964
192      97106  5006     97426  4989    106348  5967    101524  5121    109107  6012    108975  5986    106620  5980    106205  5941
256     136431  6498    136867  6480    149815  7800    142567  6600    153797  7837    153620  7811    150182  7812    149626  7774
384     219279  9578    219944  9562    241617 11495    229017  9655    248197 11508    247934 11483    242172 11507    241334 11468
512     306212 12791    307105 12772    338118 15296    319712 12830    347462 15279    347110 15253    338861 15308    337740 15270
768     488794 18780    490142 18761    541199 22571    510154 18786    556404 22519    555878 22493    542320 22586    540634 22546
1024    679785 25102    681592 25083    753983 30117    709324 25039    775362 29997    774662 29973    755477 30127    753229 30093
