# reps=10000, upper bound=0, PIVOT=end, TYPE=UINT32, BLOCK_SIZE=2048, SEQREAD_CACHE_SIZE=1024, NR_TASKLETS=1
n       µ_Normal σ_Normal       µ_TrivialBC σ_TrivialBC µ_NoTrivial σ_NoTrivial µ_OneInsertion σ_OneInsertion   µ_ThreshBC σ_ThreshBC   µ_ThreshTrivBC σ_ThreshTrivBC   µ_ThreshThenTriv σ_ThreshThenTriv       µ_TrivInThresh σ_TrivInThresh
20        5947   553      5959   538      6241   646      6151   670      5833   603      5820   589      6261   653      6224   629
24        7470   651      7487   634      7881   771      7767   799      7380   710      7362   694      7907   779      7860   750
32       10700   851     10730   835     11371   997     11211  1028     10668   908     10644   890     11408  1007     11343   975
48       17634  1236     17689  1219     18900  1429     18646  1463     17754  1287     17720  1267     18961  1439     18858  1404
64       25128  1631     25211  1613     27070  1877     26723  1915     25444  1681     25399  1659     27155  1888     27014  1852
96       41109  2368     41240  2351     44562  2695     44026  2731     41897  2405     41831  2384     44694  2706     44480  2669
128      58147  3107     58328  3088     63290  3534     62568  3572     59513  3157     59424  3137     63470  3544     63182  3507
192      94359  4700     94641  4684    103153  5277    102056  5316     96958  4684     96826  4663    103426  5288    102990  5250
256     132579  6246    132962  6224    145398  7037    143926  7078    136667  6263    136491  6243    145766  7048    145184  7010
384     213439  9379    214023  9357    234871 10492    232649 10531    220656  9309    220393  9284    235426 10503    234549 10461
512     298464 12529    299245 12513    329188 13940    326218 13979    309208 12292    308855 12272    329933 13951    328756 13915
768     477258 19123    478443 19103    527873 21221    523399 21261    495635 18685    495110 18660    528992 21234    527227 21195
1024    663725 24822    665316 24808    735552 27727    729577 27765    690619 24598    689915 24574    737049 27737    734688 27692
